,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,1.0,1.0,3.2,3.2,6.84,6.84,11.12,11.12,15.36,15.36,19.08,19.08,19.08,23.0,23.0,26.36,26.36,29.86,29.86,32.94,32.94,35.22,35.22,35.22,37.48,37.48,39.36,39.36,41.02,41.02,42.48,42.48,44.04,44.04,44.04,45.58,45.58,46.72,46.72,47.74,47.74,48.8,48.8,49.52,49.52,49.52,50.34,50.34,51.12,51.12,51.94,51.94,52.62,52.62,53.3,53.3,53.3,53.94,53.94,54.62,54.62,55.18,55.18,56.02,56.02,56.48,56.48,56.48,57.06,57.06,57.58,57.58,58.08,58.08,58.52,58.52,58.86,58.86,58.86,59.4,59.4,59.76,59.76,60.22,60.22,60.64,60.64,61.08,61.08,61.08,61.44,61.44,62.0,62.0,62.34,62.34,62.74,62.74,63.36,63.36,63.36,63.78,63.78,64.1,64.1,64.4,64.4,64.78,64.78,65.26,65.26,65.26,65.54,65.54,65.92,65.92,66.38,66.38,66.66,66.66,67.14,67.14,67.14,67.44,67.44,67.88,67.88,68.14,68.14,68.68,68.68,69.16,69.16,69.16,69.56,69.56,70.08,70.08,70.82,70.82,71.42,71.42,71.86,71.86,71.86,72.22,72.22,72.86,72.86,73.52,73.52,74.1,74.1,74.86,74.86,74.86,75.62,75.62,76.28,76.28,76.98,76.98,77.86,77.86,78.8,78.8,78.8,79.96,79.96,80.96,80.96,82.12,82.12,83.3,83.3,84.7,84.7,84.7,86.28,86.28,87.88,87.88,89.44,89.44,91.46,91.46,93.3,93.3,93.3,95.12,95.12,96.96,96.96,98.22,98.22,99.14,99.14,99.8,99.8,99.8,100.0
fpr,0.0,0.58,0.58,2.28,2.28,4.72,4.72,7.4,7.4,10.5,10.5,13.44,13.44,13.44,16.38,16.38,18.96,18.96,21.56,21.56,23.42,23.42,25.1,25.1,25.1,27.12,27.12,28.88,28.88,30.42,30.42,31.72,31.72,32.92,32.92,32.92,34.12,34.12,35.32,35.32,36.24,36.24,36.96,36.96,37.82,37.82,37.82,38.66,38.66,39.62,39.62,40.42,40.42,41.16,41.16,41.76,41.76,41.76,42.36,42.36,43.0,43.0,43.42,43.42,44.0,44.0,44.38,44.38,44.38,44.9,44.9,45.44,45.44,46.02,46.02,46.56,46.56,47.02,47.02,47.02,47.4,47.4,47.68,47.68,48.04,48.04,48.48,48.48,48.86,48.86,48.86,49.3,49.3,49.64,49.64,50.04,50.04,50.62,50.62,50.86,50.86,50.86,51.24,51.24,51.56,51.56,52.1,52.1,52.4,52.4,52.7,52.7,52.7,53.06,53.06,53.38,53.38,53.72,53.72,54.1,54.1,54.46,54.46,54.46,54.92,54.92,55.52,55.52,55.86,55.86,56.26,56.26,56.74,56.74,56.74,57.28,57.28,57.8,57.8,58.4,58.4,59.04,59.04,59.8,59.8,59.8,60.42,60.42,60.98,60.98,61.46,61.46,62.28,62.28,63.1,63.1,63.1,63.8,63.8,64.48,64.48,65.16,65.16,66.02,66.02,67.02,67.02,67.02,68.1,68.1,69.72,69.72,71.24,71.24,72.5,72.5,74.1,74.1,74.1,76.14,76.14,78.36,78.36,80.34,80.34,82.78,82.78,85.44,85.44,85.44,88.6,88.6,92.06,92.06,95.22,95.22,97.68,97.68,99.42,99.42,99.42,100.0
auc,0.5867546400000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
