,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,8.82,17.52,24.82,29.5,29.5,34.24,38.1,41.16,41.16,43.56,45.6,47.44,47.44,49.28,50.72,51.66,52.6,52.6,53.64,54.4,55.06,55.06,55.96,56.5,57.12,57.12,57.64,58.08,58.7,58.7,59.04,59.42,59.76,60.08,60.08,60.5,60.96,61.3,61.3,61.62,61.8,62.04,62.04,62.24,62.38,62.58,62.58,62.78,62.94,63.16,63.4,63.4,63.58,63.72,63.98,63.98,64.14,64.24,64.5,64.5,64.64,64.84,65.0,65.0,65.26,65.4,65.6,65.86,65.86,66.06,66.2,66.3,66.3,66.38,66.52,66.64,66.64,66.78,66.92,67.2,67.2,67.4,67.56,67.68,67.86,67.86,67.88,68.12,68.28,68.28,68.44,68.58,68.74,68.74,68.9,69.06,69.34,69.34,69.42,69.66,69.76,69.86,69.86,70.06,70.22,70.4,70.4,70.5,70.62,70.78,70.78,71.04,71.26,71.44,71.44,71.56,71.7,71.88,72.02,72.02,72.18,72.34,72.44,72.44,72.6,72.9,73.02,73.02,73.12,73.34,73.52,73.52,73.66,73.8,74.02,74.2,74.2,74.4,74.68,74.96,74.96,75.12,75.24,75.52,75.52,75.68,75.8,76.04,76.04,76.38,76.54,76.76,76.96,76.96,77.28,77.66,77.94,77.94,78.18,78.5,78.92,78.92,79.3,79.78,80.02,80.02,80.34,80.7,81.0,81.36,81.36,81.78,82.4,82.86,82.86,83.26,83.82,84.34,84.34,84.84,85.56,86.08,86.08,86.72,87.34,88.02,88.88,88.88,89.8,90.96,92.06,92.06,93.14,94.42,95.78,95.78,96.9,98.18,99.08,99.08,100.0
fpr,0.0,4.74,9.64,14.12,17.6,17.6,20.9,23.36,25.76,25.76,27.68,29.36,30.68,30.68,32.06,33.32,34.14,35.26,35.26,36.28,37.12,37.82,37.82,38.5,38.96,39.66,39.66,40.18,40.74,41.2,41.2,41.8,42.08,42.4,42.88,42.88,43.26,43.58,43.76,43.76,44.1,44.26,44.44,44.44,44.68,44.92,45.24,45.24,45.44,45.58,45.7,45.88,45.88,46.16,46.4,46.6,46.6,46.74,46.88,46.96,46.96,47.02,47.3,47.46,47.46,47.5,47.58,47.66,47.82,47.82,48.08,48.2,48.38,48.38,48.56,48.68,48.84,48.84,48.86,49.0,49.14,49.14,49.26,49.34,49.38,49.48,49.48,49.6,49.66,49.78,49.78,49.88,49.96,50.08,50.08,50.14,50.22,50.38,50.38,50.54,50.6,50.66,50.74,50.74,50.86,50.86,51.0,51.0,51.06,51.08,51.18,51.18,51.32,51.48,51.66,51.66,51.74,51.78,51.94,52.0,52.0,52.04,52.18,52.3,52.3,52.42,52.52,52.66,52.66,52.74,52.84,53.0,53.0,53.14,53.28,53.34,53.5,53.5,53.62,53.7,53.86,53.86,54.0,54.1,54.28,54.28,54.46,54.7,54.82,54.82,54.98,55.18,55.52,55.66,55.66,55.9,56.14,56.38,56.38,56.62,56.92,57.16,57.16,57.38,57.7,58.1,58.1,58.4,58.8,59.2,59.58,59.58,59.86,60.22,60.84,60.84,61.26,61.8,62.46,62.46,63.26,64.22,65.04,65.04,66.04,67.32,68.48,69.78,69.78,70.98,72.34,74.32,74.32,76.8,79.3,82.72,82.72,86.18,90.76,95.3,95.3,100.0
auc,0.6393333600000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
