,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.14,0.14,0.24,0.24,0.4,0.4,0.76,0.76,1.36,1.36,1.36,2.1,2.1,3.34,3.34,5.08,5.08,7.36,7.36,10.08,10.08,10.08,13.88,13.88,17.34,17.34,22.18,22.18,27.62,27.62,33.14,33.14,33.14,38.0,38.0,43.98,43.98,50.04,50.04,55.44,55.44,60.96,60.96,60.96,66.2,66.2,70.72,70.72,74.82,74.82,79.16,79.16,82.58,82.58,82.58,85.1,85.1,87.82,87.82,90.22,90.22,91.9,91.9,93.66,93.66,93.66,94.64,94.64,95.82,95.82,96.68,96.68,97.4,97.4,97.78,97.78,97.78,98.18,98.18,98.6,98.6,98.86,98.86,99.16,99.16,99.36,99.36,99.36,99.54,99.54,99.68,99.68,99.76,99.76,99.8,99.8,99.9,99.9,99.9,99.92,99.92,99.94,99.94,99.96,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.06,0.06,0.06,0.1,0.1,0.12,0.12,0.14,0.14,0.18,0.18,0.3,0.3,0.3,0.38,0.38,0.5,0.5,0.68,0.68,0.98,0.98,1.34,1.34,1.34,1.64,1.64,2.28,2.28,2.96,2.96,3.98,3.98,5.08,5.08,5.08,6.18,6.18,7.82,7.82,9.52,9.52,11.36,11.36,13.8,13.8,13.8,16.36,16.36,19.46,19.46,22.34,22.34,25.48,25.48,29.22,29.22,29.22,33.12,33.12,36.82,36.82,40.44,40.44,44.36,44.36,48.26,48.26,48.26,52.64,52.64,56.82,56.82,61.3,61.3,65.42,65.42,69.02,69.02,69.02,72.34,72.34,76.04,76.04,79.5,79.5,82.66,82.66,85.22,85.22,85.22,87.44,87.44,89.74,89.74,91.68,91.68,93.04,93.04,94.02,94.02,94.02,95.04,95.04,96.18,96.18,97.08,97.08,97.92,97.92,98.32,98.32,98.32,98.84,98.84,99.14,99.14,99.48,99.48,99.64,99.64,99.8,99.8,99.8,99.82,99.82,99.88,99.88,99.9,99.9,99.92,99.92,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9646516200000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
