,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.62,0.62,0.62,0.62,0.62,0.62,0.62,1.74,1.74,1.74,1.74,1.74,1.74,1.74,3.92,3.92,3.92,3.92,3.92,3.92,3.92,6.72,6.72,6.72,6.72,6.72,6.72,6.72,6.72,11.04,11.04,11.04,11.04,11.04,11.04,11.04,16.5,16.5,16.5,16.5,16.5,16.5,16.5,23.48,23.48,23.48,23.48,23.48,23.48,23.48,31.66,31.66,31.66,31.66,31.66,31.66,31.66,40.76,40.76,40.76,40.76,40.76,40.76,40.76,49.96,49.96,49.96,49.96,49.96,49.96,49.96,59.64,59.64,59.64,59.64,59.64,59.64,59.64,59.64,67.98,67.98,67.98,67.98,67.98,67.98,67.98,75.52,75.52,75.52,75.52,75.52,75.52,75.52,82.36,82.36,82.36,82.36,82.36,82.36,82.36,88.34,88.34,88.34,88.34,88.34,88.34,88.34,92.44,92.44,92.44,92.44,92.44,92.44,92.44,94.94,94.94,94.94,94.94,94.94,94.94,94.94,97.06,97.06,97.06,97.06,97.06,97.06,97.06,98.36,98.36,98.36,98.36,98.36,98.36,98.36,98.36,99.12,99.12,99.12,99.12,99.12,99.12,99.12,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.94,99.94,99.94,99.94,99.94,99.94,99.94,99.96,99.96,99.96,99.96,99.96,99.96,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.76,1.76,1.76,1.76,1.76,1.76,1.76,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,5.14,5.14,5.14,5.14,5.14,5.14,5.14,8.84,8.84,8.84,8.84,8.84,8.84,8.84,13.48,13.48,13.48,13.48,13.48,13.48,13.48,19.72,19.72,19.72,19.72,19.72,19.72,19.72,27.2,27.2,27.2,27.2,27.2,27.2,27.2,35.66,35.66,35.66,35.66,35.66,35.66,35.66,44.36,44.36,44.36,44.36,44.36,44.36,44.36,44.36,53.54,53.54,53.54,53.54,53.54,53.54,53.54,62.72,62.72,62.72,62.72,62.72,62.72,62.72,71.06,71.06,71.06,71.06,71.06,71.06,71.06,79.26,79.26,79.26,79.26,79.26,79.26,79.26,85.78,85.78,85.78,85.78,85.78,85.78,85.78,91.06,91.06,91.06,91.06,91.06,91.06,91.06,94.94,94.94,94.94,94.94,94.94,94.94,94.94,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24,98.6,98.6,98.6,98.6,98.6,98.6,98.6,99.34,99.34,99.34,99.34,99.34,99.34,99.34,99.72,99.72,99.72,99.72,99.72,99.72,99.72,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.94,99.94,99.94,99.94,99.94,99.94,99.94,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.6033286200000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
