,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.78,0.78,0.78,3.74,3.74,3.74,9.54,9.54,9.54,15.84,15.84,15.84,22.7,22.7,22.7,29.14,29.14,29.14,35.48,35.48,35.48,41.26,41.26,41.26,47.1,47.1,47.1,51.6,51.6,51.6,55.94,55.94,55.94,59.12,59.12,59.12,62.22,62.22,62.22,64.86,64.86,64.86,67.02,67.02,67.02,69.02,69.02,69.02,70.7,70.7,70.7,71.8,71.8,71.8,72.84,72.84,72.84,73.92,73.92,73.92,74.98,74.98,74.98,75.78,75.78,75.78,76.58,76.58,76.58,77.28,77.28,77.28,77.98,77.98,77.98,78.54,78.54,78.54,79.12,79.12,79.12,79.8,79.8,79.8,80.42,80.42,80.42,80.98,80.98,80.98,81.72,81.72,81.72,82.4,82.4,82.4,83.02,83.02,83.02,83.02,83.64,83.64,83.64,84.22,84.22,84.22,84.86,84.86,84.86,85.2,85.2,85.2,85.84,85.84,85.84,86.44,86.44,86.44,87.2,87.2,87.2,88.0,88.0,88.0,88.62,88.62,88.62,89.6,89.6,89.6,90.22,90.22,90.22,90.7,90.7,90.7,91.48,91.48,91.48,92.42,92.42,92.42,93.02,93.02,93.02,93.72,93.72,93.72,94.48,94.48,94.48,95.26,95.26,95.26,96.0,96.0,96.0,96.92,96.92,96.92,97.52,97.52,97.52,98.14,98.14,98.14,98.72,98.72,98.72,99.08,99.08,99.08,99.36,99.36,99.36,99.54,99.54,99.54,99.74,99.74,99.74,99.9,99.9,99.9,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.14,0.14,0.14,0.56,0.56,0.56,1.48,1.48,1.48,3.54,3.54,3.54,6.18,6.18,6.18,9.18,9.18,9.18,11.92,11.92,11.92,14.48,14.48,14.48,17.04,17.04,17.04,19.04,19.04,19.04,21.18,21.18,21.18,23.08,23.08,23.08,24.92,24.92,24.92,26.54,26.54,26.54,27.86,27.86,27.86,29.16,29.16,29.16,30.8,30.8,30.8,32.12,32.12,32.12,33.56,33.56,33.56,34.58,34.58,34.58,35.62,35.62,35.62,37.02,37.02,37.02,38.06,38.06,38.06,39.16,39.16,39.16,40.08,40.08,40.08,41.1,41.1,41.1,42.58,42.58,42.58,43.66,43.66,43.66,45.1,45.1,45.1,46.2,46.2,46.2,47.28,47.28,47.28,48.54,48.54,48.54,49.78,49.78,49.78,49.78,51.24,51.24,51.24,52.42,52.42,52.42,53.38,53.38,53.38,54.56,54.56,54.56,55.76,55.76,55.76,56.64,56.64,56.64,57.7,57.7,57.7,58.82,58.82,58.82,60.04,60.04,60.04,61.34,61.34,61.34,62.5,62.5,62.5,63.64,63.64,63.64,64.94,64.94,64.94,66.38,66.38,66.38,67.44,67.44,67.44,68.84,68.84,68.84,70.12,70.12,70.12,71.36,71.36,71.36,73.18,73.18,73.18,74.78,74.78,74.78,76.56,76.56,76.56,78.12,78.12,78.12,79.82,79.82,79.82,81.72,81.72,81.72,83.64,83.64,83.64,86.14,86.14,86.14,88.66,88.66,88.66,91.46,91.46,91.46,94.28,94.28,94.28,96.64,96.64,96.64,98.52,98.52,98.52,99.6,99.6,99.6,99.98,99.98,99.98,100.0,100.0
auc,0.7513310000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
