,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.16,0.24,0.24,0.38,0.38,0.56,0.56,1.02,1.7,1.7,2.68,2.68,4.16,5.98,5.98,7.84,7.84,10.36,12.92,12.92,15.88,15.88,19.02,22.24,22.24,25.36,28.5,28.5,32.0,32.0,35.78,35.78,39.26,42.26,42.26,45.52,45.52,48.42,51.6,51.6,54.3,54.3,56.5,58.96,58.96,61.12,63.6,63.6,65.24,65.24,67.52,67.52,69.4,71.1,71.1,72.92,72.92,74.34,76.04,76.04,77.26,77.26,78.28,79.62,79.62,80.72,80.72,81.74,82.84,82.84,83.74,84.68,84.68,85.6,85.6,86.38,87.1,87.1,87.74,87.74,88.34,88.34,89.04,89.64,89.64,90.2,90.2,90.86,91.46,91.46,91.98,91.98,92.6,93.28,93.28,93.76,94.34,94.34,94.64,94.64,94.96,95.42,95.42,95.9,95.9,96.26,96.26,96.66,97.1,97.1,97.44,97.44,97.82,98.24,98.24,98.38,98.38,98.64,98.82,98.82,99.0,99.14,99.14,99.3,99.3,99.4,99.52,99.52,99.62,99.62,99.74,99.74,99.76,99.82,99.82,99.84,99.84,99.88,99.9,99.9,99.9,99.9,99.92,99.92,99.92,99.94,99.94,99.94,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.06,0.06,0.1,0.1,0.22,0.3,0.3,0.46,0.46,0.76,1.18,1.18,1.56,1.56,2.2,2.64,2.64,3.14,4.06,4.06,4.72,4.72,5.72,5.72,6.76,7.88,7.88,8.82,8.82,10.06,10.98,10.98,12.14,12.14,12.96,14.08,14.08,15.44,16.56,16.56,17.7,17.7,18.76,18.76,19.82,20.78,20.78,21.9,21.9,22.9,24.3,24.3,25.46,25.46,26.86,27.94,27.94,29.28,29.28,30.54,31.94,31.94,33.42,34.7,34.7,36.42,36.42,37.86,39.22,39.22,40.6,40.6,42.0,42.0,43.48,44.84,44.84,46.16,46.16,47.52,49.16,49.16,50.46,50.46,52.26,53.9,53.9,55.72,57.08,57.08,58.6,58.6,60.12,61.52,61.52,62.86,62.86,64.0,64.0,65.04,66.38,66.38,67.74,67.74,68.82,69.96,69.96,71.18,71.18,72.34,73.56,73.56,74.76,76.08,76.08,77.48,77.48,78.56,79.62,79.62,80.54,80.54,81.7,81.7,82.84,83.96,83.96,85.22,85.22,86.66,87.9,87.9,89.1,89.1,90.06,91.1,91.1,91.9,92.92,92.92,93.78,93.78,94.46,95.32,95.32,96.06,96.06,96.72,96.72,97.18,97.84,97.84,98.36,98.36,98.8,99.06,99.06,99.28,99.28,99.46,99.68,99.68,99.78,99.84,99.84,99.96,99.96,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.8303373000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
