,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.14,0.14,0.14,0.4,0.4,0.86,0.86,1.52,1.52,3.02,3.02,4.86,4.86,4.86,7.58,7.58,10.54,10.54,15.04,15.04,20.38,20.38,26.36,26.36,26.36,32.58,32.58,39.08,39.08,45.88,45.88,53.36,53.36,60.14,60.14,60.14,66.06,66.06,71.92,71.92,76.86,76.86,80.72,80.72,84.32,84.32,84.32,87.22,87.22,89.66,89.66,91.64,91.64,93.34,93.34,95.0,95.0,95.0,96.12,96.12,96.92,96.92,97.56,97.56,98.2,98.2,98.54,98.54,98.54,98.88,98.88,99.16,99.16,99.26,99.26,99.44,99.44,99.56,99.56,99.56,99.74,99.74,99.86,99.86,99.92,99.92,99.96,99.96,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.06,0.06,0.08,0.08,0.08,0.12,0.12,0.12,0.12,0.14,0.14,0.22,0.22,0.34,0.34,0.34,0.4,0.4,0.64,0.64,0.84,0.84,1.04,1.04,1.4,1.4,1.4,1.94,1.94,2.66,2.66,3.36,3.36,4.28,4.28,5.48,5.48,5.48,6.8,6.8,8.34,8.34,10.02,10.02,12.48,12.48,14.68,14.68,14.68,17.18,17.18,20.08,20.08,23.66,23.66,27.24,27.24,30.86,30.86,30.86,34.72,34.72,38.32,38.32,41.98,41.98,46.54,46.54,51.1,51.1,51.1,55.04,55.04,59.24,59.24,63.4,63.4,67.12,67.12,70.54,70.54,70.54,74.32,74.32,77.8,77.8,81.24,81.24,84.02,84.02,86.48,86.48,86.48,88.58,88.58,90.52,90.52,92.32,92.32,93.72,93.72,94.84,94.84,94.84,96.24,96.24,96.9,96.9,97.52,97.52,98.12,98.12,98.48,98.48,98.48,98.84,98.84,99.16,99.16,99.44,99.44,99.62,99.62,99.72,99.72,99.72,99.82,99.82,99.92,99.92,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9877241200000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
