,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.22,0.3,0.3,0.66,1.56,2.52,2.52,4.16,5.88,8.42,11.02,11.02,13.92,17.38,20.66,20.66,24.58,28.32,31.9,31.9,35.6,39.3,42.98,42.98,46.66,50.64,53.76,56.72,56.72,59.2,61.72,64.22,64.22,66.46,68.28,70.22,70.22,72.38,74.02,75.44,75.44,76.68,77.84,79.02,79.8,79.8,80.66,81.5,82.48,82.48,83.54,84.18,85.04,85.04,85.72,86.36,87.04,87.04,87.58,88.18,88.82,89.2,89.2,89.72,90.18,90.64,90.64,91.06,91.52,91.94,91.94,92.38,92.84,93.32,93.32,93.56,93.78,94.22,94.62,94.62,94.82,95.16,95.42,95.42,95.58,95.78,96.16,96.16,96.52,96.76,96.98,96.98,97.2,97.44,97.74,97.88,97.88,98.08,98.32,98.42,98.42,98.62,98.7,98.82,98.82,99.06,99.14,99.22,99.22,99.32,99.44,99.52,99.7,99.7,99.76,99.8,99.8,99.8,99.84,99.86,99.9,99.9,99.92,99.92,99.94,99.94,99.94,99.94,99.96,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.06,0.1,0.16,0.18,0.18,0.44,0.66,0.86,0.86,1.18,1.64,2.04,2.04,2.5,3.12,3.7,3.7,4.7,5.4,6.12,6.94,6.94,7.76,8.62,9.38,9.38,10.3,11.2,11.96,11.96,12.7,13.7,14.88,14.88,15.78,16.62,17.06,17.88,17.88,18.84,19.58,20.2,20.2,21.08,21.68,22.46,22.46,23.2,24.12,25.1,25.1,25.64,26.66,27.38,28.34,28.34,29.3,30.22,30.98,30.98,31.72,32.66,33.38,33.38,34.42,35.34,36.38,36.38,37.32,38.48,39.58,40.34,40.34,41.26,41.88,42.82,42.82,43.94,44.6,45.44,45.44,46.48,47.38,48.34,48.34,49.14,50.08,50.94,52.0,52.0,52.88,53.82,54.76,54.76,55.5,56.4,57.36,57.36,58.28,59.26,60.0,60.0,60.8,61.82,62.94,63.9,63.9,64.66,65.72,66.58,66.58,67.46,68.46,69.24,69.24,70.16,71.34,72.06,72.06,72.68,73.5,74.3,75.16,75.16,75.98,76.98,77.92,77.92,78.78,79.66,80.38,80.38,81.28,82.04,83.16,83.16,83.8,84.56,85.34,86.0,86.0,86.82,87.74,88.52,88.52,89.46,90.24,91.16,91.16,92.14,92.9,93.82,93.82,94.56,95.64,96.34,96.84,96.84,97.34,97.92,98.42,98.42,98.82,99.14,99.42,99.42,99.56,99.78,99.86,99.86,99.86,99.9,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.89403084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
