,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.02,0.12,0.22,0.58,0.9,1.6,2.54,4.14,6.16,9.1,12.56,16.22,20.86,25.78,31.02,36.56,36.56,41.9,47.12,51.6,56.34,60.96,65.24,68.74,72.1,74.84,77.4,79.84,82.06,83.98,85.46,86.94,88.44,89.4,90.32,91.66,91.66,92.76,93.66,94.5,95.32,96.06,96.46,96.72,97.18,97.52,97.8,98.02,98.22,98.42,98.56,98.74,98.82,98.9,99.04,99.16,99.16,99.26,99.3,99.34,99.42,99.46,99.56,99.64,99.72,99.74,99.82,99.86,99.86,99.88,99.88,99.9,99.92,99.92,99.94,99.94,99.94,99.94,99.94,99.94,99.96,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.1,0.1,0.12,0.14,0.18,0.26,0.32,0.36,0.38,0.5,0.5,0.54,0.58,0.7,0.8,0.94,1.08,1.3,1.4,1.64,1.7,1.84,2.02,2.12,2.14,2.32,2.46,2.64,2.8,2.92,2.92,3.04,3.36,3.5,3.68,3.86,4.04,4.22,4.44,4.56,4.9,5.0,5.32,5.88,6.12,6.48,6.86,7.48,7.8,8.36,8.36,8.9,9.44,10.12,10.76,11.68,12.32,13.16,13.92,14.78,15.72,16.62,17.68,18.66,19.7,20.9,21.86,22.86,23.8,24.74,26.1,26.1,27.58,28.92,30.0,31.24,32.46,33.7,35.28,36.68,38.04,39.3,40.84,42.2,43.28,44.36,45.62,47.06,48.4,49.7,49.7,51.22,52.44,53.74,54.92,56.18,57.66,58.88,60.14,61.72,63.0,64.54,65.82,66.92,68.34,69.64,70.8,72.02,73.32,74.56,74.56,75.84,76.82,77.94,79.0,79.96,80.98,81.98,82.96,83.98,84.66,85.74,86.56,87.3,88.0,88.5,89.16,89.74,90.26,90.68,90.68,91.22,91.64,92.22,92.58,92.94,93.34,93.66,94.0,94.46,94.76,94.98,95.24,95.46,95.62,95.96,96.12,96.26,96.52,96.72,96.72,96.92,97.1,97.26,97.44,97.56,97.76,97.88,98.06,98.14,98.34,98.4,98.54,98.64,98.82,98.96,99.14,99.24,99.32,99.38,99.46,99.46,99.58,99.6,99.68,99.72,99.78,99.82,99.84,99.86,99.9,99.92,99.96,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0
auc,0.9878817600000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
