,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,28.26,28.26,28.26,28.26,28.26,28.26,28.26,37.26,37.26,37.26,37.26,37.26,37.26,37.26,42.26,42.26,42.26,42.26,42.26,42.26,42.26,45.08,45.08,45.08,45.08,45.08,45.08,45.08,47.3,47.3,47.3,47.3,47.3,47.3,47.3,48.92,48.92,48.92,48.92,48.92,48.92,48.92,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,51.28,51.28,51.28,51.28,51.28,51.28,51.28,52.08,52.08,52.08,52.08,52.08,52.08,52.08,52.9,52.9,52.9,52.9,52.9,52.9,52.9,53.7,53.7,53.7,53.7,53.7,53.7,53.7,54.38,54.38,54.38,54.38,54.38,54.38,54.38,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.76,55.76,55.76,55.76,55.76,55.76,55.76,55.76,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.78,56.78,56.78,56.78,56.78,56.78,56.78,57.3,57.3,57.3,57.3,57.3,57.3,57.3,57.76,57.76,57.76,57.76,57.76,57.76,57.76,58.54,58.54,58.54,58.54,58.54,58.54,58.54,59.38,59.38,59.38,59.38,59.38,59.38,59.38,60.28,60.28,60.28,60.28,60.28,60.28,60.28,61.28,61.28,61.28,61.28,61.28,61.28,61.28,61.28,62.66,62.66,62.66,62.66,62.66,62.66,62.66,64.26,64.26,64.26,64.26,64.26,64.26,64.26,66.26,66.26,66.26,66.26,66.26,66.26,66.26,69.48,69.48,69.48,69.48,69.48,69.48,69.48,73.3,73.3,73.3,73.3,73.3,73.3,73.3,81.16,81.16,81.16,81.16,81.16,81.16,81.16,100.0,100.0
fpr,0.0,23.22,23.22,23.22,23.22,23.22,23.22,23.22,32.6,32.6,32.6,32.6,32.6,32.6,32.6,37.4,37.4,37.4,37.4,37.4,37.4,37.4,40.44,40.44,40.44,40.44,40.44,40.44,40.44,42.04,42.04,42.04,42.04,42.04,42.04,42.04,43.68,43.68,43.68,43.68,43.68,43.68,43.68,44.8,44.8,44.8,44.8,44.8,44.8,44.8,44.8,45.74,45.74,45.74,45.74,45.74,45.74,45.74,46.48,46.48,46.48,46.48,46.48,46.48,46.48,47.18,47.18,47.18,47.18,47.18,47.18,47.18,47.94,47.94,47.94,47.94,47.94,47.94,47.94,48.54,48.54,48.54,48.54,48.54,48.54,48.54,49.18,49.18,49.18,49.18,49.18,49.18,49.18,49.72,49.72,49.72,49.72,49.72,49.72,49.72,49.72,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.84,50.84,50.84,50.84,50.84,50.84,50.84,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.94,51.94,51.94,51.94,51.94,51.94,51.94,52.46,52.46,52.46,52.46,52.46,52.46,52.46,53.1,53.1,53.1,53.1,53.1,53.1,53.1,54.0,54.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.38,56.38,56.38,56.38,56.38,56.38,56.38,57.92,57.92,57.92,57.92,57.92,57.92,57.92,59.78,59.78,59.78,59.78,59.78,59.78,59.78,62.94,62.94,62.94,62.94,62.94,62.94,62.94,67.54,67.54,67.54,67.54,67.54,67.54,67.54,76.78,76.78,76.78,76.78,76.78,76.78,76.78,100.0,100.0
auc,0.54011206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
