,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,3.14,8.1,8.1,13.76,19.18,19.18,24.3,24.3,28.46,31.62,31.62,34.38,34.38,36.72,36.72,39.26,40.86,40.86,42.3,42.3,44.02,45.04,45.04,46.22,46.22,47.32,48.38,48.38,49.16,49.16,50.02,50.68,50.68,51.42,52.08,52.08,52.72,52.72,53.32,53.32,53.98,54.34,54.34,54.92,54.92,55.34,55.76,55.76,56.22,56.22,56.6,56.94,56.94,57.08,57.46,57.46,57.76,57.76,58.04,58.04,58.48,58.8,58.8,59.14,59.14,59.36,59.66,59.66,59.94,59.94,60.16,60.42,60.42,60.62,60.62,61.02,61.3,61.3,61.46,61.72,61.72,61.98,61.98,62.22,62.44,62.44,62.74,62.74,62.98,62.98,63.24,63.42,63.42,63.68,63.68,63.84,64.06,64.06,64.2,64.2,64.6,64.82,64.82,65.04,65.16,65.16,65.44,65.44,65.74,65.92,65.92,66.18,66.18,66.34,66.34,66.7,66.92,66.92,67.18,67.18,67.52,67.9,67.9,68.1,68.1,68.36,68.6,68.6,68.86,69.12,69.12,69.42,69.42,69.72,70.02,70.02,70.28,70.28,70.5,70.5,70.82,71.06,71.06,71.44,71.44,71.74,71.96,71.96,72.28,72.28,72.66,73.08,73.08,73.5,73.88,73.88,74.4,74.4,74.94,75.44,75.44,76.16,76.16,76.84,76.84,77.62,78.3,78.3,78.84,78.84,79.36,80.06,80.06,80.76,80.76,81.44,82.34,82.34,83.38,84.24,84.24,85.46,85.46,86.48,87.82,87.82,89.18,89.18,90.72,90.72,92.32,93.96,93.96,95.5,95.5,97.2,98.7,98.7,99.66,99.66,100.0
fpr,0.0,1.72,4.88,4.88,8.24,11.8,11.8,15.18,15.18,18.1,20.48,20.48,22.7,22.7,25.1,25.1,27.1,28.72,28.72,30.16,30.16,31.38,32.52,32.52,33.34,33.34,34.38,35.08,35.08,35.86,35.86,36.52,37.14,37.14,37.7,38.26,38.26,38.72,38.72,39.28,39.28,39.76,40.16,40.16,40.52,40.52,40.86,41.32,41.32,41.74,41.74,42.0,42.38,42.38,42.78,43.06,43.06,43.42,43.42,43.64,43.64,43.96,44.14,44.14,44.38,44.38,44.54,44.82,44.82,45.02,45.02,45.22,45.36,45.36,45.6,45.6,45.74,45.92,45.92,46.28,46.5,46.5,46.6,46.6,46.8,47.04,47.04,47.12,47.12,47.3,47.3,47.46,47.72,47.72,47.92,47.92,48.14,48.44,48.44,48.72,48.72,48.94,49.24,49.24,49.48,49.7,49.7,49.78,49.78,49.94,50.14,50.14,50.32,50.32,50.46,50.46,50.68,51.06,51.06,51.38,51.38,51.56,51.78,51.78,52.02,52.02,52.26,52.44,52.44,52.64,52.88,52.88,53.04,53.04,53.24,53.42,53.42,53.56,53.56,53.82,53.82,54.08,54.32,54.32,54.54,54.54,54.94,55.3,55.3,55.6,55.6,56.02,56.46,56.46,56.82,57.16,57.16,57.6,57.6,57.94,58.34,58.34,58.8,58.8,59.18,59.18,59.7,60.4,60.4,61.14,61.14,61.82,62.64,62.64,63.5,63.5,64.42,65.54,65.54,66.98,68.34,68.34,69.72,69.72,71.44,73.54,73.54,75.64,75.64,78.28,78.28,80.66,83.7,83.7,87.24,87.24,91.12,95.16,95.16,98.08,98.08,100.0
auc,0.6124327599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
