,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.46,0.46,0.46,0.46,0.46,0.46,0.46,1.34,1.34,1.34,1.34,1.34,1.34,1.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,6.96,6.96,6.96,6.96,6.96,6.96,6.96,11.82,11.82,11.82,11.82,11.82,11.82,11.82,17.76,17.76,17.76,17.76,17.76,17.76,17.76,17.76,24.54,24.54,24.54,24.54,24.54,24.54,24.54,31.42,31.42,31.42,31.42,31.42,31.42,31.42,38.32,38.32,38.32,38.32,38.32,38.32,38.32,44.98,44.98,44.98,44.98,44.98,44.98,44.98,52.34,52.34,52.34,52.34,52.34,52.34,52.34,59.3,59.3,59.3,59.3,59.3,59.3,59.3,65.54,65.54,65.54,65.54,65.54,65.54,65.54,65.54,70.8,70.8,70.8,70.8,70.8,70.8,70.8,75.98,75.98,75.98,75.98,75.98,75.98,75.98,80.2,80.2,80.2,80.2,80.2,80.2,80.2,84.4,84.4,84.4,84.4,84.4,84.4,84.4,88.4,88.4,88.4,88.4,88.4,88.4,88.4,91.52,91.52,91.52,91.52,91.52,91.52,91.52,94.32,94.32,94.32,94.32,94.32,94.32,94.32,96.22,96.22,96.22,96.22,96.22,96.22,96.22,96.22,97.62,97.62,97.62,97.62,97.62,97.62,97.62,98.74,98.74,98.74,98.74,98.74,98.74,98.74,99.48,99.48,99.48,99.48,99.48,99.48,99.48,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.88,99.88,99.88,99.88,99.88,99.88,99.88,99.96,99.96,99.96,99.96,99.96,99.96,99.96,100.0,100.0
fpr,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.98,1.98,1.98,1.98,1.98,1.98,1.98,3.72,3.72,3.72,3.72,3.72,3.72,3.72,6.62,6.62,6.62,6.62,6.62,6.62,6.62,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,14.1,14.1,14.1,14.1,14.1,14.1,14.1,18.86,18.86,18.86,18.86,18.86,18.86,18.86,23.94,23.94,23.94,23.94,23.94,23.94,23.94,29.42,29.42,29.42,29.42,29.42,29.42,29.42,35.74,35.74,35.74,35.74,35.74,35.74,35.74,41.96,41.96,41.96,41.96,41.96,41.96,41.96,48.48,48.48,48.48,48.48,48.48,48.48,48.48,48.48,54.88,54.88,54.88,54.88,54.88,54.88,54.88,60.72,60.72,60.72,60.72,60.72,60.72,60.72,66.74,66.74,66.74,66.74,66.74,66.74,66.74,72.8,72.8,72.8,72.8,72.8,72.8,72.8,78.44,78.44,78.44,78.44,78.44,78.44,78.44,83.32,83.32,83.32,83.32,83.32,83.32,83.32,87.88,87.88,87.88,87.88,87.88,87.88,87.88,91.48,91.48,91.48,91.48,91.48,91.48,91.48,91.48,94.72,94.72,94.72,94.72,94.72,94.72,94.72,97.24,97.24,97.24,97.24,97.24,97.24,97.24,98.68,98.68,98.68,98.68,98.68,98.68,98.68,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.6138389600000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
