,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.08,0.08,0.12,0.18,0.18,0.36,0.36,0.72,1.14,1.14,1.48,1.48,2.1,3.18,3.18,4.34,4.34,5.8,7.24,7.24,8.86,10.9,10.9,13.1,13.1,15.34,15.34,17.52,20.6,20.6,23.4,23.4,26.16,29.06,29.06,32.18,32.18,35.1,38.16,38.16,40.44,43.22,43.22,46.26,46.26,48.96,48.96,51.9,54.88,54.88,57.5,57.5,59.6,62.1,62.1,64.1,64.1,66.24,68.32,68.32,70.28,70.28,72.16,73.94,73.94,75.28,76.76,76.76,78.44,78.44,80.16,81.42,81.42,82.4,82.4,83.74,83.74,84.86,86.04,86.04,87.08,87.08,87.98,88.6,88.6,89.36,89.36,90.3,90.94,90.94,91.68,92.36,92.36,93.16,93.16,93.66,94.22,94.22,94.9,94.9,95.38,95.38,96.0,96.5,96.5,96.9,96.9,97.08,97.4,97.4,97.72,97.72,98.12,98.4,98.4,98.64,98.82,98.82,99.0,99.0,99.2,99.32,99.32,99.5,99.5,99.6,99.6,99.66,99.66,99.66,99.66,99.66,99.76,99.88,99.88,99.9,99.9,99.92,99.92,99.92,99.92,99.94,99.94,99.94,99.94,99.96,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.04,0.04,0.04,0.06,0.08,0.08,0.1,0.1,0.14,0.18,0.18,0.32,0.32,0.4,0.54,0.54,0.92,1.12,1.12,1.54,1.54,1.96,1.96,2.34,2.84,2.84,3.42,3.42,4.12,4.94,4.94,5.76,5.76,6.56,7.32,7.32,8.18,8.8,8.8,9.86,9.86,10.9,10.9,12.18,13.8,13.8,15.12,15.12,16.72,17.94,17.94,19.48,19.48,20.98,22.54,22.54,24.08,24.08,25.98,27.14,27.14,28.88,30.68,30.68,32.24,32.24,34.1,35.62,35.62,37.26,37.26,39.54,39.54,41.88,43.76,43.76,45.44,45.44,47.16,48.6,48.6,50.56,50.56,52.34,54.06,54.06,55.68,57.32,57.32,59.1,59.1,60.82,62.76,62.76,63.98,63.98,65.82,65.82,67.32,69.0,69.0,70.56,70.56,72.1,73.54,73.54,75.06,75.06,76.48,77.76,77.76,79.26,80.78,80.78,82.42,82.42,83.54,84.78,84.78,86.2,86.2,87.24,87.24,88.54,89.8,89.8,90.98,90.98,92.04,92.98,92.98,93.6,93.6,94.4,95.0,95.0,95.66,96.42,96.42,97.18,97.18,97.68,98.0,98.0,98.5,98.5,98.9,98.9,99.1,99.36,99.36,99.7,99.7,99.76,99.8,99.8,99.84,99.84,99.92,99.94,99.94,99.94,99.94,99.94,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.8064414799999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
