,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,20.34,20.34,20.34,29.62,29.62,29.62,35.8,35.8,35.8,39.84,39.84,39.84,42.86,42.86,42.86,44.64,44.64,44.64,46.14,46.14,46.14,47.62,47.62,47.62,48.98,48.98,48.98,49.92,49.92,49.92,50.62,50.62,50.62,51.26,51.26,51.26,51.92,51.92,51.92,52.4,52.4,52.4,52.96,52.96,52.96,53.38,53.38,53.38,53.64,53.64,53.64,54.02,54.02,54.02,54.3,54.3,54.3,54.54,54.54,54.54,54.86,54.86,54.86,55.32,55.32,55.32,55.5,55.5,55.5,55.72,55.72,55.72,55.9,55.9,55.9,56.02,56.02,56.02,56.24,56.24,56.24,56.42,56.42,56.42,56.62,56.62,56.62,56.94,56.94,56.94,57.18,57.18,57.18,57.36,57.36,57.36,57.62,57.62,57.62,57.62,57.92,57.92,57.92,58.26,58.26,58.26,58.52,58.52,58.52,58.8,58.8,58.8,59.02,59.02,59.02,59.4,59.4,59.4,59.58,59.58,59.58,59.82,59.82,59.82,60.18,60.18,60.18,60.48,60.48,60.48,60.72,60.72,60.72,61.04,61.04,61.04,61.46,61.46,61.46,61.7,61.7,61.7,62.12,62.12,62.12,62.4,62.4,62.4,62.7,62.7,62.7,63.0,63.0,63.0,63.38,63.38,63.38,63.76,63.76,63.76,64.28,64.28,64.28,65.2,65.2,65.2,65.8,65.8,65.8,66.5,66.5,66.5,67.52,67.52,67.52,68.58,68.58,68.58,70.1,70.1,70.1,71.38,71.38,71.38,73.66,73.66,73.66,76.46,76.46,76.46,79.7,79.7,79.7,84.02,84.02,84.02,90.04,90.04,90.04,100.0,100.0
fpr,0.0,15.16,15.16,15.16,23.12,23.12,23.12,28.02,28.02,28.02,31.0,31.0,31.0,33.74,33.74,33.74,35.72,35.72,35.72,37.3,37.3,37.3,38.92,38.92,38.92,40.26,40.26,40.26,40.9,40.9,40.9,41.64,41.64,41.64,42.26,42.26,42.26,42.66,42.66,42.66,43.1,43.1,43.1,43.58,43.58,43.58,43.9,43.9,43.9,44.28,44.28,44.28,44.62,44.62,44.62,45.06,45.06,45.06,45.44,45.44,45.44,45.68,45.68,45.68,45.92,45.92,45.92,46.12,46.12,46.12,46.38,46.38,46.38,46.5,46.5,46.5,46.76,46.76,46.76,46.94,46.94,46.94,47.04,47.04,47.04,47.24,47.24,47.24,47.58,47.58,47.58,47.7,47.7,47.7,48.0,48.0,48.0,48.22,48.22,48.22,48.22,48.38,48.38,48.38,48.48,48.48,48.48,48.66,48.66,48.66,48.8,48.8,48.8,49.04,49.04,49.04,49.22,49.22,49.22,49.5,49.5,49.5,49.7,49.7,49.7,49.96,49.96,49.96,50.24,50.24,50.24,50.38,50.38,50.38,50.64,50.64,50.64,50.9,50.9,50.9,51.2,51.2,51.2,51.6,51.6,51.6,51.92,51.92,51.92,52.32,52.32,52.32,52.7,52.7,52.7,53.06,53.06,53.06,53.72,53.72,53.72,54.18,54.18,54.18,54.7,54.7,54.7,55.22,55.22,55.22,55.92,55.92,55.92,57.0,57.0,57.0,58.04,58.04,58.04,59.42,59.42,59.42,61.1,61.1,61.1,63.26,63.26,63.26,65.92,65.92,65.92,69.38,69.38,69.38,75.1,75.1,75.1,83.12,83.12,83.12,100.0,100.0
auc,0.56983692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
