,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.08,0.08,0.08,0.08,0.68,0.68,0.68,0.68,1.5,1.5,1.5,1.5,1.5,2.68,2.68,2.68,2.68,4.58,4.58,4.58,4.58,4.58,7.34,7.34,7.34,7.34,10.6,10.6,10.6,10.6,10.6,15.12,15.12,15.12,15.12,21.26,21.26,21.26,21.26,21.26,27.5,27.5,27.5,27.5,34.02,34.02,34.02,34.02,41.14,41.14,41.14,41.14,41.14,47.48,47.48,47.48,47.48,54.0,54.0,54.0,54.0,54.0,59.38,59.38,59.38,59.38,64.62,64.62,64.62,64.62,64.62,69.16,69.16,69.16,69.16,73.14,73.14,73.14,73.14,77.3,77.3,77.3,77.3,77.3,80.46,80.46,80.46,80.46,83.22,83.22,83.22,83.22,83.22,86.36,86.36,86.36,86.36,88.16,88.16,88.16,88.16,88.16,89.86,89.86,89.86,89.86,91.9,91.9,91.9,91.9,91.9,93.24,93.24,93.24,93.24,94.5,94.5,94.5,94.5,94.5,95.88,95.88,95.88,95.88,96.62,96.62,96.62,96.62,97.24,97.24,97.24,97.24,97.24,97.82,97.82,97.82,97.82,98.24,98.24,98.24,98.24,98.24,98.66,98.66,98.66,98.66,99.08,99.08,99.08,99.08,99.08,99.26,99.26,99.26,99.26,99.38,99.38,99.38,99.38,99.5,99.5,99.5,99.5,99.5,99.56,99.56,99.56,99.56,99.68,99.68,99.68,99.68,99.68,99.78,99.78,99.78,99.78,99.9,99.9,99.9,99.9,99.9,99.94,99.94,99.94,99.94,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.02,0.02,0.02,0.02,0.12,0.12,0.12,0.12,0.46,0.46,0.46,0.46,0.46,0.98,0.98,0.98,0.98,1.62,1.62,1.62,1.62,1.62,2.28,2.28,2.28,2.28,2.94,2.94,2.94,2.94,2.94,3.88,3.88,3.88,3.88,4.82,4.82,4.82,4.82,4.82,6.12,6.12,6.12,6.12,7.44,7.44,7.44,7.44,9.16,9.16,9.16,9.16,9.16,11.06,11.06,11.06,11.06,13.58,13.58,13.58,13.58,13.58,16.42,16.42,16.42,16.42,19.56,19.56,19.56,19.56,19.56,22.76,22.76,22.76,22.76,27.12,27.12,27.12,27.12,31.7,31.7,31.7,31.7,31.7,35.96,35.96,35.96,35.96,40.14,40.14,40.14,40.14,40.14,44.56,44.56,44.56,44.56,49.24,49.24,49.24,49.24,49.24,54.26,54.26,54.26,54.26,59.04,59.04,59.04,59.04,59.04,64.04,64.04,64.04,64.04,68.6,68.6,68.6,68.6,68.6,72.38,72.38,72.38,72.38,76.04,76.04,76.04,76.04,79.64,79.64,79.64,79.64,79.64,82.88,82.88,82.88,82.88,86.16,86.16,86.16,86.16,86.16,89.0,89.0,89.0,89.0,91.32,91.32,91.32,91.32,91.32,92.82,92.82,92.82,92.82,94.42,94.42,94.42,94.42,95.44,95.44,95.44,95.44,95.44,96.36,96.36,96.36,96.36,97.02,97.02,97.02,97.02,97.02,97.84,97.84,97.84,97.84,98.48,98.48,98.48,98.48,98.48,98.96,98.96,98.96,98.96,99.46,99.46,99.46,99.46,99.46,99.76,99.76,99.76,99.76,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.7921288999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
