,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.04,0.08,0.22,0.26,0.26,0.5,0.68,1.04,1.54,1.54,2.34,3.64,5.42,5.42,7.26,9.34,11.96,11.96,15.64,19.42,23.14,23.14,26.94,31.12,35.62,40.36,40.36,44.9,49.16,53.7,53.7,57.94,61.86,65.18,65.18,69.06,71.86,75.08,75.08,77.58,80.0,82.28,84.68,84.68,86.4,88.4,89.74,89.74,90.92,92.12,93.02,93.02,93.86,94.66,95.48,95.48,96.04,96.54,96.94,97.38,97.38,97.74,97.98,98.26,98.26,98.58,98.86,99.06,99.06,99.2,99.38,99.5,99.5,99.56,99.58,99.64,99.72,99.72,99.74,99.78,99.84,99.84,99.88,99.9,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.94,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.06,0.06,0.08,0.12,0.16,0.16,0.22,0.28,0.36,0.36,0.36,0.52,0.6,0.66,0.66,0.78,0.84,0.9,0.9,1.04,1.1,1.26,1.26,1.5,1.64,1.82,1.82,1.94,2.34,2.62,2.92,2.92,3.24,3.42,3.84,3.84,4.16,4.62,4.9,4.9,5.44,5.96,6.52,6.52,7.14,7.96,8.76,9.56,9.56,10.64,11.54,12.54,12.54,13.54,14.72,15.98,15.98,17.44,19.0,20.16,20.16,21.56,23.08,25.0,26.84,26.84,28.34,29.92,31.84,31.84,34.18,36.48,38.3,38.3,40.9,43.3,45.62,45.62,47.86,50.02,52.38,54.46,54.46,56.82,58.96,61.0,61.0,63.56,65.84,67.78,67.78,69.68,71.28,72.8,72.8,74.74,76.28,77.58,79.24,79.24,80.86,82.6,83.98,83.98,85.22,86.4,87.6,87.6,88.7,89.56,90.42,90.42,91.08,91.96,92.9,93.56,93.56,94.16,94.66,95.06,95.06,95.54,95.9,96.24,96.24,96.72,97.0,97.26,97.26,97.44,97.62,97.84,97.92,97.92,98.02,98.16,98.38,98.38,98.48,98.58,98.76,98.76,98.86,99.02,99.16,99.16,99.26,99.3,99.4,99.46,99.46,99.5,99.68,99.78,99.78,99.8,99.88,99.92,99.92,99.96,99.96,99.96,99.96,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9822095200000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
