,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.12,0.12,0.12,0.12,0.4,0.4,0.4,0.4,0.4,0.92,0.92,0.92,0.92,1.74,1.74,1.74,1.74,1.74,3.06,3.06,3.06,3.06,4.74,4.74,4.74,4.74,4.74,7.32,7.32,7.32,7.32,10.22,10.22,10.22,10.22,14.4,14.4,14.4,14.4,14.4,20.0,20.0,20.0,20.0,26.24,26.24,26.24,26.24,26.24,32.58,32.58,32.58,32.58,39.4,39.4,39.4,39.4,39.4,46.16,46.16,46.16,46.16,52.96,52.96,52.96,52.96,60.1,60.1,60.1,60.1,60.1,66.14,66.14,66.14,66.14,71.56,71.56,71.56,71.56,71.56,77.4,77.4,77.4,77.4,81.58,81.58,81.58,81.58,81.58,85.76,85.76,85.76,85.76,89.0,89.0,89.0,89.0,89.0,91.9,91.9,91.9,91.9,93.9,93.9,93.9,93.9,93.9,95.38,95.38,95.38,95.38,96.72,96.72,96.72,96.72,97.78,97.78,97.78,97.78,97.78,98.5,98.5,98.5,98.5,99.02,99.02,99.02,99.02,99.02,99.32,99.32,99.32,99.32,99.62,99.62,99.62,99.62,99.62,99.74,99.74,99.74,99.74,99.8,99.8,99.8,99.8,99.86,99.86,99.86,99.86,99.86,99.94,99.94,99.94,99.94,99.96,99.96,99.96,99.96,99.96,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.08,0.08,0.08,0.08,0.08,0.22,0.22,0.22,0.22,0.32,0.32,0.32,0.32,0.32,0.66,0.66,0.66,0.66,1.08,1.08,1.08,1.08,1.08,1.74,1.74,1.74,1.74,2.54,2.54,2.54,2.54,3.62,3.62,3.62,3.62,3.62,5.06,5.06,5.06,5.06,6.68,6.68,6.68,6.68,6.68,9.74,9.74,9.74,9.74,12.88,12.88,12.88,12.88,12.88,16.8,16.8,16.8,16.8,21.12,21.12,21.12,21.12,25.62,25.62,25.62,25.62,25.62,31.52,31.52,31.52,31.52,37.02,37.02,37.02,37.02,37.02,43.36,43.36,43.36,43.36,49.66,49.66,49.66,49.66,49.66,55.44,55.44,55.44,55.44,61.74,61.74,61.74,61.74,61.74,68.0,68.0,68.0,68.0,73.62,73.62,73.62,73.62,73.62,78.34,78.34,78.34,78.34,82.78,82.78,82.78,82.78,86.46,86.46,86.46,86.46,86.46,89.94,89.94,89.94,89.94,92.84,92.84,92.84,92.84,92.84,95.06,95.06,95.06,95.06,96.54,96.54,96.54,96.54,96.54,97.88,97.88,97.88,97.88,98.46,98.46,98.46,98.46,98.88,98.88,98.88,98.88,98.88,99.14,99.14,99.14,99.14,99.48,99.48,99.48,99.48,99.48,99.72,99.72,99.72,99.72,99.74,99.74,99.74,99.74,99.74,99.88,99.88,99.88,99.88,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.7346552399999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
