,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.28,0.28,0.28,0.28,0.28,0.74,0.74,0.74,0.74,1.66,1.66,1.66,1.66,1.66,3.06,3.06,3.06,3.06,5.16,5.16,5.16,5.16,5.16,7.86,7.86,7.86,7.86,12.0,12.0,12.0,12.0,16.5,16.5,16.5,16.5,16.5,23.14,23.14,23.14,23.14,29.86,29.86,29.86,29.86,29.86,37.14,37.14,37.14,37.14,44.4,44.4,44.4,44.4,44.4,51.58,51.58,51.58,51.58,59.0,59.0,59.0,59.0,66.14,66.14,66.14,66.14,66.14,72.38,72.38,72.38,72.38,77.96,77.96,77.96,77.96,77.96,82.12,82.12,82.12,82.12,86.16,86.16,86.16,86.16,86.16,89.48,89.48,89.48,89.48,92.44,92.44,92.44,92.44,92.44,94.44,94.44,94.44,94.44,95.98,95.98,95.98,95.98,95.98,97.02,97.02,97.02,97.02,97.92,97.92,97.92,97.92,98.72,98.72,98.72,98.72,98.72,99.14,99.14,99.14,99.14,99.5,99.5,99.5,99.5,99.5,99.64,99.64,99.64,99.64,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.94,99.94,99.94,99.94,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.08,0.08,0.08,0.08,0.08,0.28,0.28,0.28,0.28,0.44,0.44,0.44,0.44,0.44,0.82,0.82,0.82,0.82,1.6,1.6,1.6,1.6,2.6,2.6,2.6,2.6,2.6,4.04,4.04,4.04,4.04,5.86,5.86,5.86,5.86,5.86,8.1,8.1,8.1,8.1,11.36,11.36,11.36,11.36,11.36,14.64,14.64,14.64,14.64,18.76,18.76,18.76,18.76,24.18,24.18,24.18,24.18,24.18,29.66,29.66,29.66,29.66,35.96,35.96,35.96,35.96,35.96,42.88,42.88,42.88,42.88,49.62,49.62,49.62,49.62,49.62,56.16,56.16,56.16,56.16,63.14,63.14,63.14,63.14,63.14,69.38,69.38,69.38,69.38,75.0,75.0,75.0,75.0,75.0,80.58,80.58,80.58,80.58,85.26,85.26,85.26,85.26,89.02,89.02,89.02,89.02,89.02,92.26,92.26,92.26,92.26,94.48,94.48,94.48,94.48,94.48,96.28,96.28,96.28,96.28,97.4,97.4,97.4,97.4,97.4,98.3,98.3,98.3,98.3,99.1,99.1,99.1,99.1,99.62,99.62,99.62,99.62,99.62,99.8,99.8,99.8,99.8,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.7792253200000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
