,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,2.34,2.34,2.34,2.34,7.84,7.84,7.84,7.84,16.1,16.1,16.1,16.1,16.1,23.58,23.58,23.58,23.58,31.28,31.28,31.28,31.28,31.28,38.42,38.42,38.42,38.42,44.3,44.3,44.3,44.3,44.3,49.84,49.84,49.84,49.84,54.58,54.58,54.58,54.58,54.58,58.8,58.8,58.8,58.8,61.86,61.86,61.86,61.86,64.52,64.52,64.52,64.52,64.52,66.58,66.58,66.58,66.58,68.5,68.5,68.5,68.5,68.5,70.26,70.26,70.26,70.26,71.64,71.64,71.64,71.64,71.64,72.78,72.78,72.78,72.78,74.04,74.04,74.04,74.04,74.98,74.98,74.98,74.98,74.98,76.1,76.1,76.1,76.1,76.88,76.88,76.88,76.88,76.88,77.8,77.8,77.8,77.8,78.66,78.66,78.66,78.66,78.66,79.52,79.52,79.52,79.52,80.52,80.52,80.52,80.52,80.52,81.4,81.4,81.4,81.4,82.48,82.48,82.48,82.48,82.48,83.36,83.36,83.36,83.36,84.24,84.24,84.24,84.24,85.22,85.22,85.22,85.22,85.22,86.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,88.24,88.24,88.24,88.24,89.6,89.6,89.6,89.6,89.6,90.94,90.94,90.94,90.94,92.32,92.32,92.32,92.32,93.64,93.64,93.64,93.64,93.64,95.06,95.06,95.06,95.06,96.26,96.26,96.26,96.26,96.26,97.48,97.48,97.48,97.48,98.52,98.52,98.52,98.52,98.52,99.4,99.4,99.4,99.4,99.86,99.86,99.86,99.86,99.86,99.94,99.94,99.94,99.94,99.98,99.98,99.98,99.98,100.0,100.0
fpr,0.0,0.58,0.58,0.58,0.58,2.18,2.18,2.18,2.18,5.16,5.16,5.16,5.16,5.16,9.06,9.06,9.06,9.06,12.68,12.68,12.68,12.68,12.68,16.28,16.28,16.28,16.28,19.8,19.8,19.8,19.8,19.8,22.52,22.52,22.52,22.52,25.06,25.06,25.06,25.06,25.06,27.44,27.44,27.44,27.44,30.16,30.16,30.16,30.16,31.98,31.98,31.98,31.98,31.98,34.02,34.02,34.02,34.02,35.72,35.72,35.72,35.72,35.72,37.5,37.5,37.5,37.5,39.24,39.24,39.24,39.24,39.24,41.08,41.08,41.08,41.08,42.8,42.8,42.8,42.8,44.46,44.46,44.46,44.46,44.46,45.94,45.94,45.94,45.94,47.46,47.46,47.46,47.46,47.46,48.88,48.88,48.88,48.88,50.58,50.58,50.58,50.58,50.58,52.22,52.22,52.22,52.22,54.14,54.14,54.14,54.14,54.14,56.1,56.1,56.1,56.1,57.74,57.74,57.74,57.74,57.74,59.54,59.54,59.54,59.54,61.16,61.16,61.16,61.16,62.96,62.96,62.96,62.96,62.96,64.26,64.26,64.26,64.26,66.06,66.06,66.06,66.06,66.06,67.98,67.98,67.98,67.98,70.0,70.0,70.0,70.0,70.0,71.94,71.94,71.94,71.94,73.74,73.74,73.74,73.74,75.74,75.74,75.74,75.74,75.74,78.18,78.18,78.18,78.18,81.0,81.0,81.0,81.0,81.0,84.04,84.04,84.04,84.04,87.4,87.4,87.4,87.4,87.4,91.08,91.08,91.08,91.08,95.14,95.14,95.14,95.14,95.14,97.9,97.9,97.9,97.9,99.6,99.6,99.6,99.6,100.0,100.0
auc,0.7048925199999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
