,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.32,0.32,0.32,0.32,0.32,0.32,0.32,1.44,1.44,1.44,1.44,1.44,1.44,1.44,3.84,3.84,3.84,3.84,3.84,3.84,3.84,7.2,7.2,7.2,7.2,7.2,7.2,7.2,13.46,13.46,13.46,13.46,13.46,13.46,13.46,21.54,21.54,21.54,21.54,21.54,21.54,21.54,21.54,31.38,31.38,31.38,31.38,31.38,31.38,31.38,42.12,42.12,42.12,42.12,42.12,42.12,42.12,53.08,53.08,53.08,53.08,53.08,53.08,53.08,63.86,63.86,63.86,63.86,63.86,63.86,63.86,71.9,71.9,71.9,71.9,71.9,71.9,71.9,80.28,80.28,80.28,80.28,80.28,80.28,80.28,86.02,86.02,86.02,86.02,86.02,86.02,86.02,86.02,90.6,90.6,90.6,90.6,90.6,90.6,90.6,94.06,94.06,94.06,94.06,94.06,94.06,94.06,96.28,96.28,96.28,96.28,96.28,96.28,96.28,97.94,97.94,97.94,97.94,97.94,97.94,97.94,98.74,98.74,98.74,98.74,98.74,98.74,98.74,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.88,99.88,99.88,99.88,99.88,99.88,99.88,99.88,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.96,1.96,1.96,1.96,1.96,1.96,1.96,3.28,3.28,3.28,3.28,3.28,3.28,3.28,3.28,5.76,5.76,5.76,5.76,5.76,5.76,5.76,9.38,9.38,9.38,9.38,9.38,9.38,9.38,14.34,14.34,14.34,14.34,14.34,14.34,14.34,20.02,20.02,20.02,20.02,20.02,20.02,20.02,27.86,27.86,27.86,27.86,27.86,27.86,27.86,36.14,36.14,36.14,36.14,36.14,36.14,36.14,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,55.24,55.24,55.24,55.24,55.24,55.24,55.24,64.06,64.06,64.06,64.06,64.06,64.06,64.06,72.24,72.24,72.24,72.24,72.24,72.24,72.24,79.38,79.38,79.38,79.38,79.38,79.38,79.38,85.12,85.12,85.12,85.12,85.12,85.12,85.12,89.64,89.64,89.64,89.64,89.64,89.64,89.64,93.84,93.84,93.84,93.84,93.84,93.84,93.84,96.54,96.54,96.54,96.54,96.54,96.54,96.54,96.54,98.16,98.16,98.16,98.16,98.16,98.16,98.16,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.76,99.76,99.76,99.76,99.76,99.76,99.76,99.94,99.94,99.94,99.94,99.94,99.94,99.94,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.79361162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
