,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.18,0.18,1.04,1.04,3.44,3.44,7.82,7.82,13.38,13.38,19.84,19.84,19.84,26.18,26.18,32.18,32.18,38.3,38.3,43.62,43.62,48.82,48.82,48.82,53.66,53.66,57.54,57.54,60.54,60.54,63.5,63.5,66.24,66.24,66.24,68.22,68.22,70.0,70.0,71.36,71.36,72.78,72.78,73.68,73.68,73.68,74.92,74.92,75.8,75.8,76.68,76.68,77.58,77.58,78.22,78.22,78.22,79.04,79.04,79.9,79.9,80.38,80.38,81.02,81.02,81.58,81.58,81.58,82.1,82.1,82.66,82.66,83.46,83.46,83.92,83.92,84.4,84.4,84.4,84.8,84.8,85.42,85.42,85.8,85.8,86.32,86.32,86.72,86.72,86.72,87.1,87.1,87.7,87.7,88.04,88.04,88.42,88.42,88.92,88.92,88.92,89.24,89.24,89.8,89.8,90.24,90.24,90.62,90.62,91.16,91.16,91.16,91.66,91.66,91.96,91.96,92.48,92.48,93.04,93.04,93.56,93.56,93.56,94.04,94.04,94.4,94.4,94.86,94.86,95.22,95.22,95.66,95.66,95.66,96.18,96.18,96.56,96.56,96.94,96.94,97.34,97.34,97.64,97.64,97.64,97.88,97.88,98.16,98.16,98.54,98.54,98.86,98.86,99.04,99.04,99.04,99.24,99.24,99.46,99.46,99.56,99.56,99.68,99.68,99.78,99.78,99.78,99.88,99.88,99.92,99.92,99.92,99.92,99.94,99.94,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.1,0.1,0.4,0.4,0.94,0.94,1.76,1.76,2.82,2.82,2.82,4.84,4.84,6.64,6.64,8.56,8.56,10.92,10.92,12.76,12.76,12.76,14.72,14.72,16.46,16.46,18.14,18.14,19.94,19.94,21.32,21.32,21.32,22.68,22.68,23.94,23.94,25.04,25.04,26.36,26.36,27.56,27.56,27.56,29.04,29.04,30.06,30.06,31.0,31.0,32.04,32.04,33.04,33.04,33.04,33.72,33.72,34.8,34.8,35.6,35.6,36.48,36.48,37.42,37.42,37.42,38.3,38.3,39.22,39.22,40.08,40.08,40.88,40.88,41.8,41.8,41.8,42.66,42.66,43.44,43.44,44.42,44.42,45.28,45.28,46.5,46.5,46.5,47.28,47.28,48.22,48.22,49.14,49.14,50.12,50.12,51.1,51.1,51.1,51.96,51.96,52.9,52.9,53.94,53.94,54.88,54.88,55.82,55.82,55.82,56.7,56.7,57.58,57.58,58.66,58.66,59.74,59.74,60.58,60.58,60.58,61.3,61.3,62.24,62.24,63.18,63.18,64.18,64.18,65.08,65.08,65.08,65.84,65.84,66.64,66.64,67.38,67.38,68.26,68.26,69.2,69.2,69.2,70.22,70.22,71.28,71.28,72.2,72.2,73.1,73.1,74.04,74.04,74.04,75.12,75.12,76.32,76.32,77.68,77.68,78.76,78.76,80.18,80.18,80.18,81.84,81.84,83.4,83.4,85.14,85.14,86.8,86.8,88.42,88.42,88.42,90.32,90.32,92.08,92.08,93.98,93.98,95.74,95.74,97.22,97.22,97.22,98.42,98.42,99.22,99.22,99.74,99.74,99.96,99.96,100.0,100.0,100.0,100.0
auc,0.8009825599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
