,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.1,0.16,0.16,0.32,0.32,0.76,0.76,1.16,2.28,2.28,4.2,4.2,6.46,9.86,9.86,13.94,13.94,18.68,24.7,24.7,31.08,31.08,37.94,44.46,44.46,51.28,58.02,58.02,63.98,63.98,69.68,69.68,74.68,78.62,78.62,82.18,82.18,85.68,88.24,88.24,90.6,90.6,92.36,93.96,93.96,95.48,96.54,96.54,97.26,97.26,97.8,97.8,98.28,98.66,98.66,99.0,99.0,99.3,99.48,99.48,99.58,99.58,99.68,99.76,99.76,99.82,99.82,99.84,99.86,99.86,99.9,99.9,99.9,99.9,99.9,99.92,99.94,99.94,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.08,0.08,0.12,0.12,0.14,0.22,0.22,0.28,0.28,0.44,0.6,0.6,0.72,0.98,0.98,1.14,1.14,1.34,1.34,1.68,2.24,2.24,2.7,2.7,3.38,4.1,4.1,4.9,4.9,5.9,6.94,6.94,8.4,8.4,9.76,11.24,11.24,13.2,15.12,15.12,17.32,17.32,19.74,22.28,22.28,25.32,25.32,28.22,28.22,31.92,35.3,35.3,38.72,38.72,41.94,45.2,45.2,49.18,49.18,52.88,56.72,56.72,60.04,63.22,63.22,66.28,66.28,68.9,71.88,71.88,75.44,75.44,77.56,77.56,80.26,82.32,82.32,84.52,84.52,86.26,88.14,88.14,89.88,89.88,91.12,92.32,92.32,93.54,94.68,94.68,95.52,95.52,96.6,97.26,97.26,97.84,97.84,98.16,98.16,98.64,98.92,98.92,99.24,99.24,99.4,99.6,99.6,99.82,99.82,99.9,99.96,99.96,99.96,99.96,99.96,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9982775200000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
