,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,6.32,13.34,20.58,26.14,31.72,35.94,39.54,42.46,44.96,47.26,48.92,50.5,52.0,53.28,54.42,55.18,56.08,56.68,57.26,57.26,57.66,58.52,59.0,59.32,59.8,60.28,60.82,61.24,61.62,61.9,62.2,62.72,63.02,63.28,63.54,63.8,64.12,64.46,64.7,64.7,65.08,65.32,65.66,65.9,66.18,66.5,66.78,67.0,67.26,67.42,67.6,67.76,67.86,67.9,68.02,68.3,68.44,68.72,68.84,68.84,69.06,69.16,69.32,69.44,69.48,69.66,69.86,70.02,70.14,70.22,70.34,70.46,70.64,70.82,70.98,71.1,71.26,71.4,71.62,71.72,71.72,71.9,72.04,72.24,72.34,72.44,72.58,72.7,72.78,72.98,73.14,73.28,73.44,73.62,73.82,73.98,74.16,74.4,74.56,74.56,74.68,74.78,74.94,75.2,75.38,75.54,75.78,75.98,76.12,76.32,76.4,76.52,76.62,76.82,77.2,77.44,77.62,77.92,78.14,78.14,78.32,78.5,78.68,78.92,79.1,79.34,79.52,79.76,80.02,80.22,80.48,80.78,81.04,81.18,81.42,81.7,82.04,82.36,82.7,82.7,82.96,83.18,83.42,83.66,83.9,84.18,84.52,84.76,85.06,85.24,85.44,85.74,86.04,86.22,86.52,86.84,87.28,87.46,87.8,87.8,88.0,88.44,88.74,89.26,89.6,89.88,90.06,90.54,90.84,91.06,91.36,91.62,91.94,92.32,92.56,92.84,93.08,93.44,93.66,94.02,94.02,94.34,94.7,95.14,95.54,95.74,96.2,96.62,97.1,97.54,97.88,98.3,98.7,99.16,99.44,99.7,99.84,99.92,99.98,99.98,100.0
fpr,0.0,2.52,5.92,9.12,12.12,15.36,18.18,20.48,22.64,24.56,26.3,28.16,29.74,30.86,31.84,32.7,33.64,34.44,35.32,36.12,36.12,36.84,37.52,37.9,38.42,38.8,39.38,39.86,40.16,40.58,40.94,41.28,41.72,41.96,42.32,42.68,42.96,43.32,43.86,44.16,44.16,44.34,44.54,44.68,44.86,45.04,45.3,45.48,45.6,45.72,45.88,46.0,46.14,46.36,46.52,46.72,46.78,46.96,47.1,47.26,47.26,47.44,47.58,47.7,47.8,47.84,47.94,48.06,48.22,48.3,48.38,48.46,48.64,48.7,48.82,48.9,48.98,49.04,49.14,49.3,49.38,49.38,49.5,49.62,49.68,49.78,49.9,49.98,50.0,50.04,50.12,50.16,50.26,50.32,50.38,50.48,50.52,50.62,50.72,50.78,50.78,50.94,50.98,51.16,51.28,51.38,51.5,51.56,51.62,51.64,51.74,51.84,51.96,52.02,52.08,52.14,52.16,52.2,52.28,52.44,52.44,52.52,52.68,52.8,52.82,52.98,53.06,53.16,53.24,53.28,53.34,53.4,53.44,53.62,53.7,53.82,53.92,53.98,54.08,54.22,54.22,54.44,54.58,54.68,54.84,54.96,55.08,55.2,55.3,55.48,55.72,55.84,55.98,56.1,56.26,56.44,56.54,56.7,56.8,57.0,57.0,57.16,57.36,57.58,57.7,57.94,58.2,58.46,58.76,59.0,59.38,59.7,60.14,60.38,60.78,61.26,61.72,62.26,63.0,63.54,64.34,64.34,65.02,65.92,66.6,67.36,68.22,68.94,70.44,71.54,72.92,74.36,75.96,78.08,80.64,82.98,86.16,89.9,93.56,97.06,97.06,100.0
auc,0.6852019999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
