,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.06,0.14,0.3,0.4,0.86,1.52,2.22,3.3,4.46,5.88,7.78,7.78,10.02,12.2,14.88,17.76,20.82,23.84,26.98,30.38,33.82,37.12,40.62,43.96,47.08,50.48,53.38,56.12,58.46,60.88,63.76,63.76,65.94,68.1,69.94,71.7,73.38,74.62,76.0,77.2,78.5,79.46,80.74,81.86,82.86,83.86,84.64,85.48,86.18,86.7,87.4,87.4,88.08,88.72,89.34,89.86,90.24,90.86,91.48,91.86,92.44,92.9,93.24,93.62,94.04,94.38,94.74,95.18,95.64,96.0,96.3,96.6,96.6,97.02,97.36,97.68,97.82,97.94,98.06,98.32,98.54,98.66,98.84,98.98,99.08,99.16,99.34,99.38,99.42,99.48,99.52,99.52,99.54,99.6,99.7,99.76,99.76,99.76,99.76,99.84,99.9,99.9,99.94,99.96,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.04,0.08,0.12,0.18,0.22,0.32,0.42,0.62,0.8,0.92,1.12,1.34,1.48,1.7,1.98,2.24,2.62,3.06,3.64,4.22,4.22,4.62,5.1,5.74,6.3,6.88,7.66,8.36,8.92,9.62,10.38,10.9,11.54,12.26,12.74,13.28,14.2,14.92,15.58,16.16,16.16,16.6,17.3,17.94,18.6,19.34,19.98,20.68,21.4,22.16,22.84,23.62,24.3,25.18,26.08,27.02,27.74,28.62,29.56,30.5,31.48,31.48,32.28,33.2,34.34,35.2,36.26,37.1,38.1,39.22,40.08,41.12,41.9,42.84,43.94,45.14,46.02,47.42,48.48,49.3,49.3,50.4,51.34,52.5,53.44,54.48,55.26,56.32,56.96,57.86,58.82,59.88,60.62,61.42,62.38,63.34,64.2,65.0,65.88,66.8,66.8,67.26,68.14,69.22,69.98,70.7,71.56,72.32,73.04,74.1,74.98,75.76,76.56,77.4,78.22,79.02,79.88,80.6,81.46,82.04,82.04,82.52,83.32,83.96,84.64,85.1,85.86,86.62,87.26,88.04,88.72,89.68,90.2,90.96,91.66,92.72,93.26,93.9,94.42,94.88,94.88,95.52,95.98,96.52,96.8,97.24,97.52,97.84,98.12,98.56,98.82,99.12,99.32,99.48,99.58,99.76,99.88,99.94,99.94,99.96,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9381247600000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
