,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.02,0.02,0.02,0.12,0.12,0.12,0.44,0.44,0.44,0.86,0.86,0.86,1.46,1.46,1.46,2.3,2.3,2.3,3.6,3.6,3.6,5.36,5.36,5.36,7.54,7.54,7.54,11.56,11.56,11.56,15.74,15.74,15.74,20.68,20.68,20.68,26.1,26.1,26.1,31.3,31.3,31.3,37.48,37.48,37.48,42.94,42.94,42.94,48.54,48.54,48.54,54.0,54.0,54.0,59.28,59.28,59.28,63.56,63.56,63.56,67.52,67.52,67.52,71.7,71.7,71.7,75.08,75.08,75.08,77.76,77.76,77.76,80.44,80.44,80.44,83.1,83.1,83.1,85.54,85.54,85.54,87.46,87.46,87.46,89.32,89.32,89.32,90.78,90.78,90.78,92.1,92.1,92.1,93.12,93.12,93.12,94.04,94.04,94.04,94.04,95.34,95.34,95.34,95.84,95.84,95.84,96.72,96.72,96.72,97.3,97.3,97.3,97.74,97.74,97.74,98.12,98.12,98.12,98.48,98.48,98.48,98.74,98.74,98.74,99.0,99.0,99.0,99.26,99.26,99.26,99.44,99.44,99.44,99.48,99.48,99.48,99.54,99.54,99.54,99.62,99.62,99.62,99.72,99.72,99.72,99.78,99.78,99.78,99.82,99.82,99.82,99.88,99.88,99.88,99.9,99.9,99.9,99.94,99.94,99.94,99.94,99.94,99.94,99.96,99.96,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.04,0.04,0.04,0.08,0.08,0.08,0.3,0.3,0.3,0.48,0.48,0.48,0.72,0.72,0.72,1.04,1.04,1.04,1.4,1.4,1.4,1.88,1.88,1.88,2.28,2.28,2.28,2.64,2.64,2.64,3.36,3.36,3.36,3.98,3.98,3.98,4.76,4.76,4.76,5.7,5.7,5.7,6.66,6.66,6.66,7.88,7.88,7.88,9.16,9.16,9.16,10.56,10.56,10.56,12.14,12.14,12.14,14.18,14.18,14.18,16.26,16.26,16.26,19.04,19.04,19.04,22.12,22.12,22.12,24.62,24.62,24.62,27.52,27.52,27.52,30.76,30.76,30.76,34.02,34.02,34.02,37.68,37.68,37.68,41.18,41.18,41.18,44.66,44.66,44.66,48.16,48.16,48.16,48.16,51.58,51.58,51.58,55.34,55.34,55.34,59.38,59.38,59.38,62.94,62.94,62.94,66.08,66.08,66.08,69.28,69.28,69.28,72.08,72.08,72.08,74.8,74.8,74.8,77.9,77.9,77.9,80.52,80.52,80.52,83.0,83.0,83.0,85.4,85.4,85.4,87.4,87.4,87.4,89.64,89.64,89.64,91.12,91.12,91.12,92.14,92.14,92.14,93.44,93.44,93.44,94.52,94.52,94.52,95.2,95.2,95.2,95.9,95.9,95.9,96.54,96.54,96.54,97.12,97.12,97.12,97.54,97.54,97.54,97.88,97.88,97.88,98.34,98.34,98.34,98.64,98.64,98.64,98.94,98.94,98.94,99.24,99.24,99.24,99.54,99.54,99.54,99.82,99.82,99.82,99.88,99.88,99.88,99.9,99.9,99.9,100.0,100.0,100.0,100.0,100.0
auc,0.8645627600000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
