,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.1,0.1,0.1,0.1,0.46,0.46,0.46,0.46,1.02,1.02,1.02,1.02,1.02,1.88,1.88,1.88,1.88,3.34,3.34,3.34,3.34,3.34,5.34,5.34,5.34,5.34,8.7,8.7,8.7,8.7,8.7,12.86,12.86,12.86,12.86,18.18,18.18,18.18,18.18,18.18,24.64,24.64,24.64,24.64,31.28,31.28,31.28,31.28,38.28,38.28,38.28,38.28,38.28,45.22,45.22,45.22,45.22,52.5,52.5,52.5,52.5,52.5,58.8,58.8,58.8,58.8,64.06,64.06,64.06,64.06,64.06,69.24,69.24,69.24,69.24,73.68,73.68,73.68,73.68,77.3,77.3,77.3,77.3,77.3,81.06,81.06,81.06,81.06,84.32,84.32,84.32,84.32,84.32,86.68,86.68,86.68,86.68,89.14,89.14,89.14,89.14,89.14,91.14,91.14,91.14,91.14,92.64,92.64,92.64,92.64,92.64,94.0,94.0,94.0,94.0,95.28,95.28,95.28,95.28,95.28,96.2,96.2,96.2,96.2,96.78,96.78,96.78,96.78,97.54,97.54,97.54,97.54,97.54,98.1,98.1,98.1,98.1,98.68,98.68,98.68,98.68,98.68,99.0,99.0,99.0,99.0,99.26,99.26,99.26,99.26,99.26,99.48,99.48,99.48,99.48,99.74,99.74,99.74,99.74,99.78,99.78,99.78,99.78,99.78,99.84,99.84,99.84,99.84,99.86,99.86,99.86,99.86,99.86,99.88,99.88,99.88,99.88,99.94,99.94,99.94,99.94,99.94,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.02,0.02,0.02,0.02,0.08,0.08,0.08,0.08,0.36,0.36,0.36,0.36,0.36,0.78,0.78,0.78,0.78,1.18,1.18,1.18,1.18,1.18,1.74,1.74,1.74,1.74,2.28,2.28,2.28,2.28,2.28,3.2,3.2,3.2,3.2,4.04,4.04,4.04,4.04,4.04,4.94,4.94,4.94,4.94,6.08,6.08,6.08,6.08,7.58,7.58,7.58,7.58,7.58,9.68,9.68,9.68,9.68,12.3,12.3,12.3,12.3,12.3,15.42,15.42,15.42,15.42,18.54,18.54,18.54,18.54,18.54,22.0,22.0,22.0,22.0,26.52,26.52,26.52,26.52,30.84,30.84,30.84,30.84,30.84,35.38,35.38,35.38,35.38,40.04,40.04,40.04,40.04,40.04,44.78,44.78,44.78,44.78,49.38,49.38,49.38,49.38,49.38,54.62,54.62,54.62,54.62,59.86,59.86,59.86,59.86,59.86,64.76,64.76,64.76,64.76,69.34,69.34,69.34,69.34,69.34,73.22,73.22,73.22,73.22,77.42,77.42,77.42,77.42,80.74,80.74,80.74,80.74,80.74,84.2,84.2,84.2,84.2,87.42,87.42,87.42,87.42,87.42,90.08,90.08,90.08,90.08,92.34,92.34,92.34,92.34,92.34,93.82,93.82,93.82,93.82,95.0,95.0,95.0,95.0,96.1,96.1,96.1,96.1,96.1,97.02,97.02,97.02,97.02,97.74,97.74,97.74,97.74,97.74,98.24,98.24,98.24,98.24,98.86,98.86,98.86,98.86,98.86,99.36,99.36,99.36,99.36,99.76,99.76,99.76,99.76,99.76,99.88,99.88,99.88,99.88,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.7999532199999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
