,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,8.1,17.1,17.1,24.6,30.0,30.0,33.92,33.92,37.74,40.62,40.62,43.36,43.36,45.18,45.18,47.16,48.72,48.72,50.1,50.1,51.12,51.88,51.88,52.92,52.92,53.94,54.66,54.66,55.4,55.4,55.96,56.44,56.44,57.08,57.58,57.58,58.08,58.08,58.5,58.5,58.76,59.18,59.18,59.38,59.38,59.7,60.04,60.04,60.4,60.4,60.72,61.02,61.02,61.26,61.64,61.64,61.84,61.84,62.06,62.06,62.32,62.6,62.6,62.9,62.9,63.12,63.28,63.28,63.52,63.52,63.78,63.92,63.92,64.14,64.14,64.4,64.48,64.48,64.64,64.9,64.9,65.12,65.12,65.22,65.42,65.42,65.6,65.6,65.76,65.76,65.98,66.08,66.08,66.24,66.24,66.34,66.5,66.5,66.7,66.7,66.86,67.14,67.14,67.46,67.7,67.7,67.92,67.92,68.08,68.18,68.18,68.36,68.36,68.46,68.46,68.7,68.78,68.78,69.06,69.06,69.18,69.44,69.44,69.68,69.68,69.84,70.08,70.08,70.26,70.44,70.44,70.66,70.66,70.88,71.08,71.08,71.26,71.26,71.52,71.52,71.76,72.0,72.0,72.28,72.28,72.76,73.14,73.14,73.44,73.44,73.72,74.02,74.02,74.32,74.66,74.66,75.0,75.0,75.48,76.04,76.04,76.46,76.46,76.94,76.94,77.44,78.0,78.0,78.34,78.34,78.8,79.34,79.34,80.04,80.04,80.56,81.24,81.24,82.06,82.92,82.92,83.9,83.9,84.84,85.68,85.68,86.8,86.8,88.0,88.0,89.3,90.54,90.54,92.56,92.56,94.8,96.74,96.74,98.56,98.56,100.0
fpr,0.0,5.14,10.3,10.3,14.98,19.2,19.2,22.64,22.64,25.6,28.2,28.2,29.94,29.94,31.56,31.56,32.98,34.48,34.48,35.82,35.82,36.74,37.48,37.48,38.18,38.18,38.96,39.56,39.56,40.3,40.3,40.7,41.06,41.06,41.6,42.1,42.1,42.56,42.56,43.08,43.08,43.42,43.88,43.88,44.34,44.34,44.52,44.76,44.76,45.14,45.14,45.34,45.62,45.62,45.8,46.1,46.1,46.38,46.38,46.68,46.68,46.86,46.96,46.96,47.12,47.12,47.28,47.48,47.48,47.76,47.76,47.96,48.12,48.12,48.24,48.24,48.5,48.58,48.58,48.74,49.04,49.04,49.28,49.28,49.38,49.6,49.6,49.82,49.82,49.92,49.92,50.0,50.22,50.22,50.36,50.36,50.52,50.78,50.78,50.94,50.94,51.08,51.28,51.28,51.44,51.54,51.54,51.7,51.7,51.9,52.06,52.06,52.24,52.24,52.36,52.36,52.6,52.72,52.72,52.8,52.8,53.0,53.08,53.08,53.16,53.16,53.4,53.52,53.52,53.74,54.0,54.0,54.26,54.26,54.52,54.6,54.6,54.76,54.76,54.94,54.94,55.18,55.34,55.34,55.62,55.62,55.84,56.02,56.02,56.3,56.3,56.44,56.6,56.6,57.06,57.44,57.44,57.72,57.72,58.06,58.36,58.36,58.78,58.78,59.08,59.08,59.46,59.94,59.94,60.36,60.36,60.92,61.56,61.56,62.34,62.34,63.06,63.92,63.92,64.96,66.18,66.18,67.28,67.28,68.56,70.04,70.04,71.9,71.9,73.8,73.8,75.86,78.78,78.78,82.38,82.38,85.98,90.82,90.82,95.96,95.96,100.0
auc,0.6136311200000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
