,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.02,0.02,0.02,0.02,0.06,0.22,0.36,0.36,0.54,0.86,1.3,1.3,1.92,3.04,4.2,6.0,6.0,8.4,11.32,15.26,15.26,19.52,23.88,28.18,28.18,32.58,37.3,42.38,42.38,47.64,52.06,56.88,60.76,60.76,64.98,68.4,72.0,72.0,74.68,77.02,80.14,80.14,82.22,83.96,85.46,85.46,87.06,88.5,89.48,90.4,90.4,91.34,92.3,93.22,93.22,94.02,94.88,95.5,95.5,95.96,96.64,97.08,97.08,97.32,97.6,97.94,98.22,98.22,98.44,98.66,98.86,98.86,99.04,99.1,99.12,99.12,99.28,99.38,99.46,99.46,99.6,99.66,99.72,99.78,99.78,99.8,99.82,99.82,99.82,99.82,99.84,99.88,99.88,99.9,99.94,99.94,99.94,99.94,99.96,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.1,0.14,0.14,0.24,0.24,0.26,0.38,0.46,0.46,0.5,0.58,0.66,0.66,0.8,0.9,1.02,1.02,1.1,1.14,1.34,1.46,1.46,1.62,1.68,1.94,1.94,2.2,2.42,2.48,2.48,2.68,2.84,3.0,3.0,3.34,3.5,3.72,3.96,3.96,4.24,4.58,5.08,5.08,5.68,6.3,6.82,6.82,7.56,8.2,9.02,9.02,9.6,10.42,11.54,12.54,12.54,13.7,14.46,15.42,15.42,16.58,17.96,19.1,19.1,20.24,21.52,23.4,23.4,24.74,26.18,27.76,29.42,29.42,31.14,33.18,34.9,34.9,37.26,39.04,40.9,40.9,42.6,44.24,45.88,45.88,47.72,49.36,51.38,53.26,53.26,55.58,57.66,59.22,59.22,61.02,62.98,64.72,64.72,66.0,67.66,69.54,69.54,70.88,72.68,74.4,75.96,75.96,77.24,78.54,79.82,79.82,81.2,82.48,83.52,83.52,84.74,85.8,86.92,86.92,87.86,88.72,89.76,90.5,90.5,91.32,91.96,92.58,92.58,93.14,93.8,94.48,94.48,94.92,95.26,95.6,95.6,95.98,96.32,96.62,96.94,96.94,97.16,97.38,97.56,97.56,97.74,98.0,98.12,98.12,98.38,98.52,98.58,98.58,98.66,98.8,98.92,99.0,99.0,99.06,99.18,99.28,99.28,99.42,99.48,99.54,99.54,99.6,99.68,99.76,99.76,99.86,99.88,99.92,99.94,99.94,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0
auc,0.9797664799999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
