,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.14,0.14,0.14,0.26,0.26,0.26,0.88,0.88,0.88,1.4,1.4,1.4,2.58,2.58,2.58,4.42,4.42,4.42,6.78,6.78,6.78,10.22,10.22,10.22,14.22,14.22,14.22,18.5,18.5,18.5,23.96,23.96,23.96,30.1,30.1,30.1,36.72,36.72,36.72,42.94,42.94,42.94,49.54,49.54,49.54,55.98,55.98,55.98,61.68,61.68,61.68,67.7,67.7,67.7,72.72,72.72,72.72,77.58,77.58,77.58,82.18,82.18,82.18,85.6,85.6,85.6,88.32,88.32,88.32,90.9,90.9,90.9,92.88,92.88,92.88,94.7,94.7,94.7,95.94,95.94,95.94,97.06,97.06,97.06,97.06,97.94,97.94,97.94,98.28,98.28,98.28,98.84,98.84,98.84,99.14,99.14,99.14,99.5,99.5,99.5,99.62,99.62,99.62,99.74,99.74,99.74,99.82,99.82,99.82,99.9,99.9,99.9,99.9,99.9,99.9,99.94,99.94,99.94,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.04,0.04,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.12,0.12,0.12,0.2,0.2,0.2,0.26,0.26,0.26,0.44,0.44,0.44,0.76,0.76,0.76,1.0,1.0,1.0,1.62,1.62,1.62,2.5,2.5,2.5,3.56,3.56,3.56,4.68,4.68,4.68,6.3,6.3,6.3,8.52,8.52,8.52,10.68,10.68,10.68,12.96,12.96,12.96,16.38,16.38,16.38,19.68,19.68,19.68,23.44,23.44,23.44,27.78,27.78,27.78,32.92,32.92,32.92,37.72,37.72,37.72,42.76,42.76,42.76,47.7,47.7,47.7,47.7,52.72,52.72,52.72,58.48,58.48,58.48,63.48,63.48,63.48,68.14,68.14,68.14,72.36,72.36,72.36,76.88,76.88,76.88,80.86,80.86,80.86,84.28,84.28,84.28,87.28,87.28,87.28,90.18,90.18,90.18,92.62,92.62,92.62,94.18,94.18,94.18,95.68,95.68,95.68,96.68,96.68,96.68,97.56,97.56,97.56,98.24,98.24,98.24,98.74,98.74,98.74,99.24,99.24,99.24,99.54,99.54,99.54,99.6,99.6,99.6,99.72,99.72,99.72,99.82,99.82,99.82,99.9,99.9,99.9,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9076079600000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
