,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.08,0.22,0.64,1.34,2.54,4.56,7.54,11.48,16.32,21.38,25.76,31.06,36.4,41.42,46.3,50.36,54.4,54.4,58.06,61.86,64.76,66.88,69.72,71.82,73.72,75.14,76.74,78.08,79.28,80.36,81.38,82.06,82.86,83.8,84.48,85.2,85.52,85.52,86.18,86.68,87.28,87.74,88.24,88.74,89.3,89.78,90.16,90.7,91.18,91.54,91.84,92.14,92.32,92.7,92.92,93.16,93.5,93.5,93.76,94.0,94.4,94.78,95.1,95.3,95.64,95.8,96.2,96.4,96.66,96.9,97.06,97.24,97.4,97.64,97.84,98.06,98.2,98.4,98.4,98.64,98.74,98.88,98.96,99.14,99.24,99.38,99.54,99.58,99.62,99.66,99.7,99.74,99.78,99.86,99.86,99.86,99.92,99.92,99.94,99.94,99.94,99.96,99.96,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.1,0.14,0.26,0.34,0.46,0.9,1.24,1.62,2.3,2.3,3.0,3.62,4.38,5.22,5.92,6.92,7.74,8.8,9.72,10.74,11.54,12.36,13.34,14.04,14.7,15.5,16.26,16.96,17.84,17.84,18.62,19.28,20.0,20.5,21.0,21.58,22.24,22.84,23.4,23.92,24.52,25.1,25.64,26.3,26.8,27.42,28.18,28.64,29.16,29.16,29.98,30.62,31.02,31.64,32.12,32.74,33.34,33.7,34.38,34.8,35.46,36.04,36.4,37.0,37.46,38.02,38.72,39.16,39.64,40.04,40.04,40.56,41.02,41.6,42.18,42.72,43.4,43.98,44.6,45.32,45.96,46.56,47.32,48.0,48.54,49.4,50.04,50.84,51.46,51.46,52.06,52.66,53.2,53.92,54.78,55.36,55.88,56.6,57.08,57.7,58.24,58.8,59.46,60.18,60.68,61.1,61.64,62.24,62.7,62.7,63.22,63.9,64.56,65.1,65.76,66.28,66.78,67.32,67.88,68.34,68.72,69.24,69.74,70.26,70.64,71.12,71.68,72.1,72.7,72.7,73.22,73.92,74.48,75.0,75.6,75.94,76.5,76.96,77.8,78.28,79.08,79.76,80.0,80.72,81.28,81.94,82.48,83.12,83.76,83.76,84.54,85.28,85.98,86.7,87.58,88.5,89.26,90.0,90.76,91.52,92.58,93.24,93.94,94.6,95.34,96.0,96.6,97.22,97.72,98.36,98.36,98.52,98.98,99.34,99.52,99.64,99.78,99.8,99.86,99.94,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9321110999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
