,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.06,0.06,0.08,0.18,0.18,0.38,0.38,0.66,1.14,1.14,1.56,1.56,2.3,3.52,3.52,5.06,5.06,7.1,9.04,9.04,11.6,14.32,14.32,17.9,17.9,21.36,21.36,25.52,29.82,29.82,34.44,34.44,38.72,42.74,42.74,47.22,47.22,51.58,55.98,55.98,60.28,64.18,64.18,68.1,68.1,71.06,71.06,73.96,76.74,76.74,79.58,79.58,82.4,84.26,84.26,86.0,86.0,87.8,89.22,89.22,90.84,90.84,91.88,93.1,93.1,94.02,94.8,94.8,95.74,95.74,96.36,96.7,96.7,97.18,97.18,97.58,97.58,97.92,98.22,98.22,98.64,98.64,98.84,98.98,98.98,99.24,99.24,99.36,99.5,99.5,99.56,99.6,99.6,99.66,99.66,99.78,99.92,99.92,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.08,0.08,0.12,0.12,0.18,0.22,0.22,0.28,0.3,0.3,0.44,0.44,0.56,0.56,0.64,0.86,0.86,1.0,1.0,1.16,1.32,1.32,1.52,1.52,1.68,1.96,1.96,2.22,2.62,2.62,3.18,3.18,3.76,3.76,4.32,5.04,5.04,5.82,5.82,6.92,7.72,7.72,8.94,8.94,10.42,11.46,11.46,13.14,13.14,14.38,16.34,16.34,18.54,20.22,20.22,22.48,22.48,24.78,26.84,26.84,29.4,29.4,31.94,31.94,34.44,36.94,36.94,39.54,39.54,42.24,44.74,44.74,47.9,47.9,51.16,54.06,54.06,57.04,60.28,60.28,62.98,62.98,65.88,68.46,68.46,71.08,71.08,73.5,73.5,75.5,77.58,77.58,79.78,79.78,81.8,83.68,83.68,85.12,85.12,86.72,88.02,88.02,89.06,90.3,90.3,91.32,91.32,92.58,93.36,93.36,94.02,94.02,94.64,94.64,95.36,95.74,95.74,96.32,96.32,96.86,97.3,97.3,97.6,97.6,98.08,98.38,98.38,98.62,98.82,98.82,99.1,99.1,99.22,99.32,99.32,99.54,99.54,99.64,99.64,99.72,99.74,99.74,99.82,99.82,99.84,99.86,99.86,99.88,99.88,99.92,99.94,99.94,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9530547200000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
