,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.14,0.14,0.46,0.82,0.82,1.74,1.74,3.6,3.6,6.9,10.22,10.22,15.22,15.22,21.06,28.28,28.28,36.14,36.14,44.4,52.98,52.98,60.02,60.02,66.64,72.74,72.74,77.88,82.42,82.42,86.48,86.48,89.32,89.32,91.78,93.78,93.78,95.06,95.06,96.08,96.92,96.92,97.52,97.52,98.04,98.46,98.46,98.84,99.1,99.1,99.28,99.28,99.44,99.44,99.54,99.64,99.64,99.7,99.7,99.76,99.82,99.82,99.86,99.86,99.86,99.86,99.86,99.9,99.9,99.92,99.94,99.94,99.94,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.12,0.12,0.12,0.12,0.12,0.2,0.24,0.24,0.3,0.3,0.46,0.58,0.58,0.76,0.96,0.96,1.2,1.2,1.48,1.48,1.86,2.4,2.4,2.9,2.9,3.48,4.4,4.4,5.3,5.3,6.36,7.42,7.42,8.52,8.52,10.14,12.06,12.06,13.94,16.04,16.04,18.22,18.22,20.8,23.8,23.8,26.1,26.1,29.38,29.38,32.34,35.0,35.0,37.86,37.86,41.2,44.28,44.28,47.68,47.68,51.02,54.84,54.84,58.36,61.62,61.62,64.6,64.6,67.54,70.32,70.32,73.7,73.7,76.36,76.36,78.84,81.34,81.34,83.4,83.4,85.72,87.66,87.66,89.52,89.52,90.9,92.42,92.42,93.62,94.52,94.52,95.32,95.32,96.08,96.76,96.76,97.26,97.26,97.8,97.8,98.32,98.72,98.72,98.96,98.96,99.22,99.4,99.4,99.56,99.56,99.64,99.74,99.74,99.8,99.86,99.86,99.92,99.92,99.94,99.94,99.94,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9994142600000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
