,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,10.88,19.82,27.16,32.56,32.56,36.76,39.8,42.64,42.64,45.36,47.24,48.64,48.64,50.16,51.52,52.84,53.88,53.88,54.6,55.32,56.02,56.02,56.72,57.18,57.88,57.88,58.42,58.92,59.18,59.18,59.52,59.88,60.36,60.64,60.64,60.94,61.14,61.4,61.4,61.68,61.88,62.18,62.18,62.46,62.66,62.88,62.88,63.0,63.3,63.54,63.82,63.82,63.96,64.16,64.34,64.34,64.56,64.78,64.94,64.94,65.08,65.2,65.4,65.4,65.54,65.62,65.92,66.08,66.08,66.14,66.32,66.44,66.44,66.64,66.76,66.86,66.86,66.98,67.1,67.28,67.28,67.48,67.64,67.78,67.96,67.96,68.12,68.3,68.44,68.44,68.62,68.66,68.82,68.82,69.0,69.1,69.36,69.36,69.44,69.52,69.66,69.72,69.72,69.84,69.94,70.1,70.1,70.24,70.4,70.62,70.62,70.8,70.92,71.04,71.04,71.22,71.36,71.56,71.7,71.7,71.96,72.14,72.22,72.22,72.36,72.5,72.66,72.66,72.82,72.96,73.16,73.16,73.3,73.64,73.82,74.06,74.06,74.28,74.44,74.64,74.64,74.86,75.08,75.34,75.34,75.54,75.86,76.08,76.08,76.32,76.48,76.84,77.0,77.0,77.3,77.64,77.86,77.86,78.22,78.46,78.86,78.86,79.16,79.5,79.94,79.94,80.32,80.7,80.94,81.5,81.5,81.9,82.2,82.58,82.58,83.0,83.58,84.08,84.08,84.54,85.02,85.56,85.56,86.28,87.22,88.3,89.12,89.12,89.92,90.74,91.74,91.74,92.92,93.8,95.12,95.12,96.66,97.84,99.1,99.1,100.0
fpr,0.0,5.22,10.72,15.14,18.8,18.8,22.22,24.72,27.2,27.2,29.26,30.68,31.94,31.94,33.44,34.58,35.36,36.14,36.14,36.96,37.76,38.3,38.3,38.88,39.3,39.84,39.84,40.58,41.08,41.26,41.26,41.6,42.08,42.42,42.7,42.7,43.02,43.18,43.48,43.48,43.86,44.02,44.22,44.22,44.56,44.76,44.86,44.86,45.0,45.2,45.42,45.58,45.58,45.74,46.0,46.08,46.08,46.26,46.34,46.5,46.5,46.66,46.82,46.94,46.94,47.04,47.18,47.3,47.4,47.4,47.5,47.7,47.86,47.86,48.0,48.16,48.34,48.34,48.48,48.52,48.7,48.7,48.8,48.92,49.04,49.14,49.14,49.2,49.28,49.44,49.44,49.56,49.64,49.74,49.74,49.84,49.9,49.98,49.98,50.0,50.06,50.1,50.22,50.22,50.24,50.34,50.48,50.48,50.54,50.62,50.72,50.72,50.8,50.94,51.02,51.02,51.1,51.24,51.32,51.44,51.44,51.6,51.74,51.84,51.84,51.88,52.1,52.22,52.22,52.28,52.46,52.48,52.48,52.58,52.7,52.84,52.98,52.98,53.14,53.18,53.38,53.38,53.56,53.82,53.96,53.96,54.18,54.32,54.48,54.48,54.68,54.84,54.94,55.18,55.18,55.32,55.5,55.74,55.74,56.06,56.36,56.5,56.5,56.7,57.02,57.4,57.4,57.74,57.92,58.32,58.64,58.64,58.88,59.26,59.76,59.76,60.34,60.84,61.44,61.44,62.0,62.78,63.54,63.54,64.26,65.42,66.42,67.7,67.7,68.84,70.34,72.34,72.34,74.82,77.44,80.54,80.54,84.74,89.44,94.48,94.48,100.0
auc,0.6441549199999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
