,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.18,1.18,1.18,1.18,1.18,1.18,1.18,2.7,2.7,2.7,2.7,2.7,2.7,2.7,5.14,5.14,5.14,5.14,5.14,5.14,5.14,9.42,9.42,9.42,9.42,9.42,9.42,9.42,9.42,14.98,14.98,14.98,14.98,14.98,14.98,14.98,21.88,21.88,21.88,21.88,21.88,21.88,21.88,30.48,30.48,30.48,30.48,30.48,30.48,30.48,39.6,39.6,39.6,39.6,39.6,39.6,39.6,49.44,49.44,49.44,49.44,49.44,49.44,49.44,59.3,59.3,59.3,59.3,59.3,59.3,59.3,68.22,68.22,68.22,68.22,68.22,68.22,68.22,68.22,76.2,76.2,76.2,76.2,76.2,76.2,76.2,83.16,83.16,83.16,83.16,83.16,83.16,83.16,88.44,88.44,88.44,88.44,88.44,88.44,88.44,92.56,92.56,92.56,92.56,92.56,92.56,92.56,95.2,95.2,95.2,95.2,95.2,95.2,95.2,97.26,97.26,97.26,97.26,97.26,97.26,97.26,98.46,98.46,98.46,98.46,98.46,98.46,98.46,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.86,99.86,99.86,99.86,99.86,99.86,99.86,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.64,0.64,0.64,0.64,0.64,0.64,0.64,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,5.3,5.3,5.3,5.3,5.3,5.3,5.3,8.52,8.52,8.52,8.52,8.52,8.52,8.52,13.22,13.22,13.22,13.22,13.22,13.22,13.22,19.12,19.12,19.12,19.12,19.12,19.12,19.12,26.34,26.34,26.34,26.34,26.34,26.34,26.34,35.38,35.38,35.38,35.38,35.38,35.38,35.38,44.5,44.5,44.5,44.5,44.5,44.5,44.5,44.5,54.06,54.06,54.06,54.06,54.06,54.06,54.06,63.62,63.62,63.62,63.62,63.62,63.62,63.62,72.1,72.1,72.1,72.1,72.1,72.1,72.1,79.74,79.74,79.74,79.74,79.74,79.74,79.74,86.58,86.58,86.58,86.58,86.58,86.58,86.58,90.94,90.94,90.94,90.94,90.94,90.94,90.94,94.54,94.54,94.54,94.54,94.54,94.54,94.54,96.94,96.94,96.94,96.94,96.94,96.94,96.94,96.94,98.42,98.42,98.42,98.42,98.42,98.42,98.42,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.78,99.78,99.78,99.78,99.78,99.78,99.78,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.6654207200000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
