,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.04,0.12,0.44,0.44,1.16,1.16,2.06,2.06,4.16,6.9,6.9,10.44,10.44,14.74,21.18,21.18,27.3,27.3,34.24,41.22,41.22,48.58,48.58,56.32,62.82,62.82,68.88,73.6,73.6,78.48,78.48,82.68,82.68,86.06,88.48,88.48,90.66,90.66,92.64,94.3,94.3,95.4,95.4,96.42,97.2,97.2,97.84,98.34,98.34,98.64,98.64,98.96,98.96,99.16,99.36,99.36,99.52,99.52,99.6,99.72,99.72,99.78,99.78,99.82,99.84,99.84,99.9,99.9,99.92,99.92,99.92,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.08,0.08,0.1,0.1,0.14,0.18,0.18,0.24,0.24,0.44,0.62,0.62,0.86,1.1,1.1,1.34,1.34,1.56,1.56,1.78,2.24,2.24,2.78,2.78,3.52,4.26,4.26,4.96,4.96,5.98,7.12,7.12,8.32,8.32,9.9,11.72,11.72,13.34,15.22,15.22,17.44,17.44,19.68,22.54,22.54,25.32,25.32,28.02,28.02,31.0,34.1,34.1,37.42,37.42,40.88,44.28,44.28,48.48,48.48,52.1,55.52,55.52,59.04,62.52,62.52,65.58,65.58,68.86,71.5,71.5,74.1,74.1,76.7,76.7,79.34,81.92,81.92,84.06,84.06,86.16,87.74,87.74,89.44,89.44,91.08,92.46,92.46,93.62,94.7,94.7,95.66,95.66,96.68,97.46,97.46,98.1,98.1,98.54,98.54,98.9,99.14,99.14,99.34,99.34,99.46,99.6,99.6,99.76,99.76,99.82,99.84,99.84,99.88,99.88,99.88,99.92,99.92,99.96,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9991738200000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
