,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.08,0.08,0.5,0.5,1.64,1.64,3.74,3.74,6.96,6.96,11.56,11.56,11.56,16.76,16.76,22.54,22.54,27.88,27.88,33.72,33.72,38.9,38.9,38.9,44.06,44.06,48.36,48.36,52.46,52.46,56.02,56.02,59.32,59.32,59.32,61.94,61.94,64.82,64.82,67.2,67.2,69.26,69.26,70.94,70.94,70.94,72.76,72.76,74.08,74.08,75.3,75.3,76.34,76.34,77.34,77.34,77.34,78.14,78.14,79.04,79.04,79.62,79.62,80.54,80.54,81.4,81.4,81.4,82.04,82.04,82.66,82.66,83.16,83.16,83.94,83.94,84.58,84.58,84.58,85.04,85.04,85.68,85.68,86.18,86.18,86.68,86.68,87.2,87.2,87.2,87.66,87.66,88.12,88.12,88.6,88.6,88.82,88.82,89.24,89.24,89.24,89.68,89.68,90.02,90.02,90.58,90.58,90.96,90.96,91.24,91.24,91.24,91.78,91.78,92.38,92.38,92.82,92.82,93.36,93.36,93.72,93.72,93.72,94.04,94.04,94.52,94.52,95.08,95.08,95.46,95.46,96.02,96.02,96.02,96.48,96.48,96.88,96.88,97.24,97.24,97.52,97.52,97.98,97.98,97.98,98.26,98.26,98.64,98.64,98.86,98.86,99.1,99.1,99.26,99.26,99.26,99.38,99.38,99.54,99.54,99.66,99.66,99.74,99.74,99.84,99.84,99.84,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.94,99.94,99.94,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.2,0.2,0.7,0.7,1.18,1.18,1.18,2.34,2.34,3.72,3.72,5.56,5.56,7.26,7.26,9.04,9.04,9.04,11.04,11.04,12.52,12.52,14.24,14.24,15.98,15.98,17.8,17.8,17.8,19.38,19.38,20.58,20.58,21.88,21.88,23.34,23.34,24.5,24.5,24.5,25.6,25.6,26.66,26.66,27.8,27.8,29.04,29.04,30.5,30.5,30.5,31.72,31.72,32.42,32.42,33.36,33.36,34.34,34.34,35.2,35.2,35.2,36.22,36.22,37.08,37.08,38.02,38.02,39.3,39.3,40.28,40.28,40.28,41.4,41.4,42.5,42.5,43.32,43.32,44.52,44.52,45.64,45.64,45.64,46.72,46.72,48.14,48.14,49.24,49.24,50.26,50.26,51.22,51.22,51.22,52.26,52.26,53.42,53.42,54.7,54.7,55.52,55.52,56.44,56.44,56.44,57.64,57.64,58.62,58.62,59.66,59.66,60.68,60.68,61.4,61.4,61.4,62.6,62.6,63.62,63.62,64.74,64.74,65.62,65.62,67.04,67.04,67.04,68.06,68.06,68.96,68.96,70.04,70.04,71.04,71.04,72.18,72.18,72.18,73.3,73.3,74.32,74.32,75.6,75.6,76.4,76.4,77.62,77.62,77.62,78.9,78.9,80.0,80.0,81.22,81.22,83.02,83.02,84.42,84.42,84.42,86.12,86.12,87.76,87.76,89.26,89.26,90.88,90.88,92.42,92.42,92.42,94.36,94.36,95.78,95.78,97.28,97.28,98.2,98.2,98.92,98.92,98.92,99.52,99.52,99.74,99.74,99.88,99.88,99.94,99.94,100.0,100.0,100.0,100.0
auc,0.8020325399999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
