,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.52,0.52,0.52,0.52,0.52,0.52,0.52,1.76,1.76,1.76,1.76,1.76,1.76,1.76,4.64,4.64,4.64,4.64,4.64,4.64,4.64,8.58,8.58,8.58,8.58,8.58,8.58,8.58,14.84,14.84,14.84,14.84,14.84,14.84,14.84,14.84,22.78,22.78,22.78,22.78,22.78,22.78,22.78,31.76,31.76,31.76,31.76,31.76,31.76,31.76,41.84,41.84,41.84,41.84,41.84,41.84,41.84,51.86,51.86,51.86,51.86,51.86,51.86,51.86,61.36,61.36,61.36,61.36,61.36,61.36,61.36,69.66,69.66,69.66,69.66,69.66,69.66,69.66,77.12,77.12,77.12,77.12,77.12,77.12,77.12,77.12,83.76,83.76,83.76,83.76,83.76,83.76,83.76,88.64,88.64,88.64,88.64,88.64,88.64,88.64,92.58,92.58,92.58,92.58,92.58,92.58,92.58,95.26,95.26,95.26,95.26,95.26,95.26,95.26,97.42,97.42,97.42,97.42,97.42,97.42,97.42,98.5,98.5,98.5,98.5,98.5,98.5,98.5,99.18,99.18,99.18,99.18,99.18,99.18,99.18,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.56,99.88,99.88,99.88,99.88,99.88,99.88,99.88,99.96,99.96,99.96,99.96,99.96,99.96,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.86,0.86,0.86,0.86,0.86,0.86,0.86,1.66,1.66,1.66,1.66,1.66,1.66,1.66,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,5.52,5.52,5.52,5.52,5.52,5.52,5.52,9.32,9.32,9.32,9.32,9.32,9.32,9.32,13.72,13.72,13.72,13.72,13.72,13.72,13.72,19.88,19.88,19.88,19.88,19.88,19.88,19.88,27.0,27.0,27.0,27.0,27.0,27.0,27.0,35.88,35.88,35.88,35.88,35.88,35.88,35.88,44.72,44.72,44.72,44.72,44.72,44.72,44.72,44.72,54.58,54.58,54.58,54.58,54.58,54.58,54.58,63.88,63.88,63.88,63.88,63.88,63.88,63.88,72.24,72.24,72.24,72.24,72.24,72.24,72.24,79.1,79.1,79.1,79.1,79.1,79.1,79.1,85.64,85.64,85.64,85.64,85.64,85.64,85.64,90.68,90.68,90.68,90.68,90.68,90.68,90.68,94.18,94.18,94.18,94.18,94.18,94.18,94.18,96.78,96.78,96.78,96.78,96.78,96.78,96.78,96.78,98.28,98.28,98.28,98.28,98.28,98.28,98.28,99.14,99.14,99.14,99.14,99.14,99.14,99.14,99.62,99.62,99.62,99.62,99.62,99.62,99.62,99.88,99.88,99.88,99.88,99.88,99.88,99.88,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.7303692199999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
