,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.1,0.1,0.2,0.2,0.2,0.64,0.64,1.44,1.44,3.04,3.04,4.84,4.84,7.58,7.58,7.58,11.4,11.4,16.18,16.18,21.98,21.98,28.54,28.54,35.74,35.74,35.74,42.96,42.96,51.0,51.0,57.56,57.56,63.44,63.44,69.12,69.12,69.12,74.18,74.18,78.76,78.76,82.7,82.7,85.78,85.78,88.82,88.82,88.82,91.22,91.22,93.14,93.14,94.54,94.54,95.62,95.62,96.46,96.46,96.46,97.18,97.18,97.86,97.86,98.5,98.5,98.88,98.88,99.28,99.28,99.28,99.48,99.48,99.6,99.6,99.66,99.66,99.7,99.7,99.72,99.72,99.72,99.8,99.8,99.9,99.9,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.08,0.08,0.08,0.1,0.1,0.12,0.12,0.16,0.16,0.22,0.22,0.34,0.34,0.34,0.46,0.46,0.62,0.62,0.76,0.76,1.0,1.0,1.22,1.22,1.22,1.78,1.78,2.48,2.48,3.22,3.22,4.18,4.18,5.38,5.38,5.38,6.74,6.74,8.48,8.48,10.28,10.28,12.54,12.54,14.9,14.9,14.9,17.34,17.34,20.26,20.26,23.14,23.14,26.24,26.24,29.86,29.86,29.86,33.86,33.86,37.48,37.48,41.96,41.96,46.42,46.42,50.86,50.86,50.86,55.66,55.66,59.46,59.46,63.66,63.66,67.36,67.36,71.14,71.14,71.14,74.66,74.66,78.08,78.08,81.06,81.06,83.88,83.88,85.98,85.98,85.98,88.26,88.26,90.42,90.42,92.1,92.1,93.5,93.5,94.78,94.78,94.78,95.96,95.96,96.68,96.68,97.34,97.34,97.96,97.96,98.4,98.4,98.4,98.74,98.74,98.9,98.9,99.14,99.14,99.44,99.44,99.5,99.5,99.5,99.66,99.66,99.82,99.82,99.88,99.88,99.88,99.88,99.94,99.94,99.94,99.94,99.94,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9916243999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
