,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,4.18,4.18,4.18,4.18,4.18,4.18,4.18,10.3,10.3,10.3,10.3,10.3,10.3,10.3,17.14,17.14,17.14,17.14,17.14,17.14,17.14,24.7,24.7,24.7,24.7,24.7,24.7,24.7,32.68,32.68,32.68,32.68,32.68,32.68,32.68,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,45.38,45.38,45.38,45.38,45.38,45.38,45.38,51.14,51.14,51.14,51.14,51.14,51.14,51.14,55.58,55.58,55.58,55.58,55.58,55.58,55.58,59.78,59.78,59.78,59.78,59.78,59.78,59.78,64.02,64.02,64.02,64.02,64.02,64.02,64.02,67.42,67.42,67.42,67.42,67.42,67.42,67.42,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,73.22,73.22,73.22,73.22,73.22,73.22,73.22,75.7,75.7,75.7,75.7,75.7,75.7,75.7,78.4,78.4,78.4,78.4,78.4,78.4,78.4,80.58,80.58,80.58,80.58,80.58,80.58,80.58,82.86,82.86,82.86,82.86,82.86,82.86,82.86,85.78,85.78,85.78,85.78,85.78,85.78,85.78,88.74,88.74,88.74,88.74,88.74,88.74,88.74,91.18,91.18,91.18,91.18,91.18,91.18,91.18,91.18,93.56,93.56,93.56,93.56,93.56,93.56,93.56,95.68,95.68,95.68,95.68,95.68,95.68,95.68,97.32,97.32,97.32,97.32,97.32,97.32,97.32,98.92,98.92,98.92,98.92,98.92,98.92,98.92,99.52,99.52,99.52,99.52,99.52,99.52,99.52,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100.0,100.0
fpr,0.0,0.46,0.46,0.46,0.46,0.46,0.46,0.46,1.98,1.98,1.98,1.98,1.98,1.98,1.98,5.1,5.1,5.1,5.1,5.1,5.1,5.1,9.16,9.16,9.16,9.16,9.16,9.16,9.16,13.38,13.38,13.38,13.38,13.38,13.38,13.38,17.6,17.6,17.6,17.6,17.6,17.6,17.6,21.86,21.86,21.86,21.86,21.86,21.86,21.86,21.86,26.24,26.24,26.24,26.24,26.24,26.24,26.24,30.16,30.16,30.16,30.16,30.16,30.16,30.16,33.84,33.84,33.84,33.84,33.84,33.84,33.84,37.66,37.66,37.66,37.66,37.66,37.66,37.66,41.32,41.32,41.32,41.32,41.32,41.32,41.32,45.74,45.74,45.74,45.74,45.74,45.74,45.74,49.64,49.64,49.64,49.64,49.64,49.64,49.64,49.64,53.34,53.34,53.34,53.34,53.34,53.34,53.34,56.92,56.92,56.92,56.92,56.92,56.92,56.92,60.98,60.98,60.98,60.98,60.98,60.98,60.98,64.42,64.42,64.42,64.42,64.42,64.42,64.42,68.08,68.08,68.08,68.08,68.08,68.08,68.08,71.96,71.96,71.96,71.96,71.96,71.96,71.96,75.32,75.32,75.32,75.32,75.32,75.32,75.32,79.54,79.54,79.54,79.54,79.54,79.54,79.54,79.54,83.54,83.54,83.54,83.54,83.54,83.54,83.54,87.9,87.9,87.9,87.9,87.9,87.9,87.9,92.18,92.18,92.18,92.18,92.18,92.18,92.18,95.76,95.76,95.76,95.76,95.76,95.76,95.76,98.26,98.26,98.26,98.26,98.26,98.26,98.26,99.66,99.66,99.66,99.66,99.66,99.66,99.66,100.0,100.0
auc,0.6408815400000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
