,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.08,0.22,0.22,0.22,0.22,0.22,0.38,0.38,0.38,0.38,0.94,0.94,0.94,0.94,0.94,1.78,1.78,1.78,1.78,3.78,3.78,3.78,3.78,3.78,7.06,7.06,7.06,7.06,11.86,11.86,11.86,11.86,11.86,17.32,17.32,17.32,17.32,24.7,24.7,24.7,24.7,32.5,32.5,32.5,32.5,32.5,41.04,41.04,41.04,41.04,49.42,49.42,49.42,49.42,49.42,57.52,57.52,57.52,57.52,65.24,65.24,65.24,65.24,65.24,71.9,71.9,71.9,71.9,77.74,77.74,77.74,77.74,83.1,83.1,83.1,83.1,83.1,86.9,86.9,86.9,86.9,90.24,90.24,90.24,90.24,90.24,92.76,92.76,92.76,92.76,94.74,94.74,94.74,94.74,94.74,96.02,96.02,96.02,96.02,97.38,97.38,97.38,97.38,97.38,98.14,98.14,98.14,98.14,98.84,98.84,98.84,98.84,98.84,99.28,99.28,99.28,99.28,99.48,99.48,99.48,99.48,99.64,99.64,99.64,99.64,99.64,99.76,99.76,99.76,99.76,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.92,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.08,0.08,0.08,0.08,0.16,0.16,0.16,0.16,0.16,0.28,0.28,0.28,0.28,0.54,0.54,0.54,0.54,0.54,0.9,0.9,0.9,0.9,1.4,1.4,1.4,1.4,2.46,2.46,2.46,2.46,2.46,3.96,3.96,3.96,3.96,6.02,6.02,6.02,6.02,6.02,8.56,8.56,8.56,8.56,11.72,11.72,11.72,11.72,11.72,15.3,15.3,15.3,15.3,19.78,19.78,19.78,19.78,24.78,24.78,24.78,24.78,24.78,30.8,30.8,30.8,30.8,36.94,36.94,36.94,36.94,36.94,43.06,43.06,43.06,43.06,49.9,49.9,49.9,49.9,49.9,56.7,56.7,56.7,56.7,63.58,63.58,63.58,63.58,63.58,69.26,69.26,69.26,69.26,74.62,74.62,74.62,74.62,74.62,79.66,79.66,79.66,79.66,84.44,84.44,84.44,84.44,88.3,88.3,88.3,88.3,88.3,91.06,91.06,91.06,91.06,93.5,93.5,93.5,93.5,93.5,95.5,95.5,95.5,95.5,96.82,96.82,96.82,96.82,96.82,97.98,97.98,97.98,97.98,98.78,98.78,98.78,98.78,99.2,99.2,99.2,99.2,99.2,99.58,99.58,99.58,99.58,99.78,99.78,99.78,99.78,99.78,99.92,99.92,99.92,99.92,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.8691259400000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
