,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.12,0.12,0.12,0.12,0.12,0.32,0.32,0.32,0.32,0.7,0.7,0.7,0.7,0.7,1.44,1.44,1.44,1.44,2.64,2.64,2.64,2.64,2.64,4.26,4.26,4.26,4.26,6.9,6.9,6.9,6.9,10.0,10.0,10.0,10.0,10.0,14.28,14.28,14.28,14.28,18.84,18.84,18.84,18.84,18.84,24.36,24.36,24.36,24.36,30.6,30.6,30.6,30.6,30.6,37.22,37.22,37.22,37.22,44.8,44.8,44.8,44.8,52.16,52.16,52.16,52.16,52.16,58.88,58.88,58.88,58.88,65.44,65.44,65.44,65.44,65.44,71.56,71.56,71.56,71.56,77.32,77.32,77.32,77.32,77.32,81.84,81.84,81.84,81.84,86.3,86.3,86.3,86.3,86.3,89.24,89.24,89.24,89.24,92.0,92.0,92.0,92.0,92.0,94.36,94.36,94.36,94.36,96.16,96.16,96.16,96.16,97.36,97.36,97.36,97.36,97.36,98.22,98.22,98.22,98.22,98.76,98.76,98.76,98.76,98.76,99.14,99.14,99.14,99.14,99.48,99.48,99.48,99.48,99.48,99.76,99.76,99.76,99.76,99.84,99.84,99.84,99.84,99.9,99.9,99.9,99.9,99.9,99.94,99.94,99.94,99.94,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.08,0.08,0.08,0.08,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.62,0.62,0.62,0.62,0.62,1.06,1.06,1.06,1.06,1.78,1.78,1.78,1.78,2.8,2.8,2.8,2.8,2.8,4.58,4.58,4.58,4.58,6.72,6.72,6.72,6.72,6.72,9.3,9.3,9.3,9.3,12.46,12.46,12.46,12.46,12.46,16.22,16.22,16.22,16.22,20.82,20.82,20.82,20.82,25.6,25.6,25.6,25.6,25.6,30.92,30.92,30.92,30.92,36.68,36.68,36.68,36.68,36.68,43.22,43.22,43.22,43.22,50.1,50.1,50.1,50.1,50.1,56.88,56.88,56.88,56.88,63.28,63.28,63.28,63.28,63.28,69.24,69.24,69.24,69.24,74.94,74.94,74.94,74.94,74.94,80.56,80.56,80.56,80.56,84.52,84.52,84.52,84.52,88.08,88.08,88.08,88.08,88.08,91.32,91.32,91.32,91.32,93.72,93.72,93.72,93.72,93.72,95.72,95.72,95.72,95.72,97.22,97.22,97.22,97.22,97.22,98.22,98.22,98.22,98.22,98.96,98.96,98.96,98.96,99.42,99.42,99.42,99.42,99.42,99.64,99.64,99.64,99.64,99.8,99.8,99.8,99.8,99.8,99.84,99.84,99.84,99.84,99.94,99.94,99.94,99.94,99.94,99.96,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.69160094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
