,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.1,0.1,0.16,0.42,0.42,0.82,0.82,1.38,2.12,2.12,3.02,3.02,4.76,6.82,6.82,9.18,9.18,12.78,16.54,16.54,20.3,25.06,25.06,29.86,29.86,35.4,35.4,41.14,46.44,46.44,52.22,52.22,57.64,62.92,62.92,67.78,67.78,72.06,76.06,76.06,79.68,83.02,83.02,85.88,85.88,88.32,88.32,90.34,91.78,91.78,93.32,93.32,94.46,95.6,95.6,96.46,96.46,97.08,97.76,97.76,98.26,98.26,98.62,98.82,98.82,99.02,99.16,99.16,99.36,99.36,99.54,99.58,99.58,99.68,99.68,99.78,99.78,99.82,99.86,99.86,99.88,99.88,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.08,0.08,0.08,0.08,0.12,0.18,0.18,0.22,0.22,0.32,0.44,0.44,0.58,0.76,0.76,1.08,1.08,1.5,1.5,1.76,2.26,2.26,2.74,2.74,3.62,4.64,4.64,5.46,5.46,6.4,7.48,7.48,8.58,8.58,9.94,11.36,11.36,13.08,15.12,15.12,17.3,17.3,20.14,22.68,22.68,25.4,25.4,28.44,28.44,31.32,34.12,34.12,37.54,37.54,41.64,44.94,44.94,48.36,48.36,51.56,55.28,55.28,58.14,61.96,61.96,65.44,65.44,68.92,71.68,71.68,74.36,74.36,77.16,77.16,79.86,82.58,82.58,84.74,84.74,86.36,88.28,88.28,89.82,89.82,91.38,92.54,92.54,93.8,94.9,94.9,95.92,95.92,96.78,97.46,97.46,97.92,97.92,98.22,98.22,98.58,99.0,99.0,99.28,99.28,99.42,99.6,99.6,99.6,99.6,99.82,99.86,99.86,99.88,99.9,99.9,99.92,99.92,99.92,99.94,99.94,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.9917251400000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
