,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.04,0.04,0.04,0.08,0.08,0.08,0.36,0.36,0.36,0.58,0.58,0.58,1.06,1.06,1.06,1.76,1.76,1.76,3.1,3.1,3.1,4.64,4.64,4.64,6.46,6.46,6.46,8.96,8.96,8.96,12.48,12.48,12.48,16.32,16.32,16.32,20.38,20.38,20.38,24.9,24.9,24.9,30.38,30.38,30.38,35.34,35.34,35.34,41.26,41.26,41.26,46.68,46.68,46.68,52.8,52.8,52.8,58.14,58.14,58.14,62.76,62.76,62.76,67.86,67.86,67.86,72.04,72.04,72.04,76.14,76.14,76.14,79.88,79.88,79.88,83.14,83.14,83.14,85.7,85.7,85.7,88.34,88.34,88.34,88.34,90.58,90.58,90.58,92.04,92.04,92.04,93.8,93.8,93.8,95.06,95.06,95.06,96.3,96.3,96.3,97.18,97.18,97.18,98.0,98.0,98.0,98.5,98.5,98.5,98.9,98.9,98.9,99.34,99.34,99.34,99.48,99.48,99.48,99.64,99.64,99.64,99.74,99.74,99.74,99.8,99.8,99.8,99.9,99.9,99.9,99.92,99.92,99.92,99.96,99.96,99.96,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.06,0.06,0.06,0.1,0.1,0.1,0.18,0.18,0.18,0.26,0.26,0.26,0.4,0.4,0.4,0.68,0.68,0.68,0.98,0.98,0.98,1.38,1.38,1.38,1.92,1.92,1.92,2.66,2.66,2.66,3.68,3.68,3.68,4.94,4.94,4.94,6.28,6.28,6.28,7.7,7.7,7.7,9.66,9.66,9.66,12.02,12.02,12.02,14.6,14.6,14.6,17.74,17.74,17.74,21.26,21.26,21.26,24.9,24.9,24.9,28.9,28.9,28.9,33.8,33.8,33.8,38.44,38.44,38.44,42.98,42.98,42.98,47.38,47.38,47.38,47.38,51.98,51.98,51.98,56.66,56.66,56.66,61.0,61.0,61.0,65.84,65.84,65.84,69.84,69.84,69.84,73.9,73.9,73.9,77.54,77.54,77.54,81.0,81.0,81.0,84.36,84.36,84.36,87.14,87.14,87.14,89.32,89.32,89.32,91.44,91.44,91.44,93.38,93.38,93.38,94.96,94.96,94.96,96.38,96.38,96.38,97.24,97.24,97.24,97.8,97.8,97.8,98.26,98.26,98.26,98.84,98.84,98.84,99.18,99.18,99.18,99.4,99.4,99.4,99.58,99.58,99.58,99.72,99.72,99.72,99.78,99.78,99.78,99.88,99.88,99.88,99.92,99.92,99.92,99.96,99.96,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
auc,0.80902012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
