,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.18,0.18,0.64,0.64,2.02,2.02,4.3,4.3,6.8,6.8,10.04,10.04,10.04,12.78,12.78,16.16,16.16,19.2,19.2,22.18,22.18,24.68,24.68,24.68,27.26,27.26,29.6,29.6,31.76,31.76,33.76,33.76,35.84,35.84,35.84,37.18,37.18,38.68,38.68,40.22,40.22,41.58,41.58,43.06,43.06,43.06,44.3,44.3,45.48,45.48,46.36,46.36,47.26,47.26,48.04,48.04,48.04,48.98,48.98,49.62,49.62,50.74,50.74,51.58,51.58,52.54,52.54,52.54,53.42,53.42,54.12,54.12,54.82,54.82,55.66,55.66,56.38,56.38,56.38,56.92,56.92,57.54,57.54,58.34,58.34,58.92,58.92,59.54,59.54,59.54,59.88,59.88,60.52,60.52,61.16,61.16,61.64,61.64,62.34,62.34,62.34,62.84,62.84,63.54,63.54,64.04,64.04,64.74,64.74,65.36,65.36,65.36,65.88,65.88,66.44,66.44,67.12,67.12,67.66,67.66,68.3,68.3,68.3,69.02,69.02,69.58,69.58,70.0,70.0,70.7,70.7,71.2,71.2,71.2,71.68,71.68,72.18,72.18,73.06,73.06,73.76,73.76,74.3,74.3,74.3,74.8,74.8,75.46,75.46,76.24,76.24,76.94,76.94,77.82,77.82,77.82,78.74,78.74,79.72,79.72,80.86,80.86,82.14,82.14,83.18,83.18,83.18,84.14,84.14,85.74,85.74,87.02,87.02,88.46,88.46,89.96,89.96,89.96,91.2,91.2,92.7,92.7,94.44,94.44,95.86,95.86,96.92,96.92,96.92,98.08,98.08,98.86,98.86,99.44,99.44,99.84,99.84,99.98,99.98,99.98,100.0
fpr,0.0,0.02,0.02,0.58,0.58,1.54,1.54,2.84,2.84,4.58,4.58,6.66,6.66,6.66,9.2,9.2,11.12,11.12,13.04,13.04,15.4,15.4,17.58,17.58,17.58,19.66,19.66,21.4,21.4,23.06,23.06,24.58,24.58,26.08,26.08,26.08,27.52,27.52,29.06,29.06,30.3,30.3,31.48,31.48,32.4,32.4,32.4,33.82,33.82,34.6,34.6,35.48,35.48,36.28,36.28,37.02,37.02,37.02,38.04,38.04,38.92,38.92,39.72,39.72,40.44,40.44,41.24,41.24,41.24,42.04,42.04,42.62,42.62,43.08,43.08,43.74,43.74,44.4,44.4,44.4,45.02,45.02,45.6,45.6,46.24,46.24,46.94,46.94,47.52,47.52,47.52,48.24,48.24,48.66,48.66,49.16,49.16,49.8,49.8,50.26,50.26,50.26,50.92,50.92,51.56,51.56,52.08,52.08,52.62,52.62,53.14,53.14,53.14,53.82,53.82,54.32,54.32,54.84,54.84,55.4,55.4,56.1,56.1,56.1,56.8,56.8,57.24,57.24,57.82,57.82,58.46,58.46,58.98,58.98,58.98,59.58,59.58,60.38,60.38,61.32,61.32,62.18,62.18,62.9,62.9,62.9,63.98,63.98,64.64,64.64,65.62,65.62,66.44,66.44,67.68,67.68,67.68,68.44,68.44,69.56,69.56,70.72,70.72,71.64,71.64,73.0,73.0,73.0,74.36,74.36,75.86,75.86,77.58,77.58,79.46,79.46,81.08,81.08,81.08,83.1,83.1,85.5,85.5,87.96,87.96,90.36,90.36,92.5,92.5,92.5,94.76,94.76,96.56,96.56,98.32,98.32,99.34,99.34,99.86,99.86,99.86,100.0
auc,0.5834582999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
