,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201
tpr,0.0,0.02,0.5,1.32,3.68,3.68,7.48,13.02,19.1,19.1,26.14,32.84,39.46,39.46,45.4,50.84,55.54,59.78,59.78,63.4,66.24,68.52,68.52,70.5,72.0,73.62,73.62,74.92,76.24,77.32,77.32,78.36,79.2,80.18,81.1,81.1,81.46,82.16,82.7,82.7,83.2,83.62,84.14,84.14,84.46,84.9,85.34,85.34,85.74,86.12,86.58,86.86,86.86,87.32,87.76,88.18,88.18,88.66,89.04,89.38,89.38,89.76,90.1,90.32,90.32,90.72,91.0,91.32,91.56,91.56,91.74,92.0,92.26,92.26,92.56,92.78,93.02,93.02,93.18,93.44,93.8,93.8,94.16,94.36,94.68,95.06,95.06,95.36,95.52,95.76,95.76,96.08,96.36,96.7,96.7,97.0,97.26,97.44,97.44,97.64,97.8,98.0,98.28,98.28,98.5,98.78,98.92,98.92,99.04,99.2,99.32,99.32,99.36,99.56,99.72,99.72,99.84,99.88,99.92,99.98,99.98,99.98,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
fpr,0.0,0.0,0.0,0.0,0.02,0.02,0.08,0.22,0.42,0.42,0.86,1.58,2.38,2.38,3.42,4.44,5.7,6.98,6.98,8.28,9.68,10.84,10.84,12.0,13.14,14.22,14.22,15.14,15.98,16.94,16.94,17.98,19.2,20.06,20.8,20.8,21.38,22.1,22.7,22.7,23.32,24.1,24.98,24.98,25.56,26.12,26.84,26.84,27.58,28.48,29.08,29.82,29.82,30.32,30.86,31.44,31.44,32.1,32.62,33.06,33.06,33.56,34.32,34.9,34.9,35.58,35.98,36.38,36.94,36.94,37.4,38.04,38.58,38.58,39.04,39.56,40.02,40.02,40.7,41.28,41.82,41.82,42.46,42.86,43.34,44.04,44.04,44.46,45.1,45.68,45.68,46.18,46.78,47.46,47.46,48.16,48.54,49.08,49.08,49.8,50.22,50.58,51.18,51.18,51.58,52.2,52.78,52.78,53.2,53.7,54.06,54.06,54.52,55.16,55.64,55.64,56.2,56.88,57.38,57.96,57.96,58.44,58.94,59.36,59.36,59.96,60.48,61.12,61.12,61.46,62.16,62.88,62.88,63.38,63.76,64.32,64.78,64.78,65.38,65.96,66.46,66.46,66.9,67.46,67.96,67.96,68.54,69.3,69.9,69.9,70.42,71.06,71.94,72.54,72.54,73.16,73.82,74.5,74.5,75.16,75.9,76.6,76.6,77.24,78.1,78.84,78.84,79.56,80.26,81.22,82.02,82.02,82.96,84.26,85.3,85.3,86.92,88.06,89.22,89.22,90.42,91.44,92.86,92.86,94.18,95.44,96.58,97.4,97.4,98.4,99.0,99.48,99.48,99.76,99.94,99.98,99.98,100.0,100.0,100.0,100.0,100.0
auc,0.8925998000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
